archetype_a,archetype_b,win,loss,draw,games,winrate
Eldrazi Ramp,Esper Frog,1,1,0,2,50.0
Eldrazi Ramp,Boros Energy,2,2,0,4,50.0
Eldrazi Ramp,Grinding Breach,1,1,1,3,50.0
Grinding Breach,Dimir Murktide,1,0,0,1,100.0
Grinding Breach,Boros Energy,1,4,0,5,20.0
Grinding Breach,Eldrazi Tron,2,2,1,5,50.0
Grinding Breach,Esper Frog,2,0,2,4,100.0
Grinding Breach,Eldrazi Ramp,1,1,1,3,50.0
Esper Frog,Eldrazi Ramp,1,1,0,2,50.0
Esper Frog,Boros Energy,0,0,1,1,
Esper Frog,Grinding Breach,0,2,2,4,0.0
Boros Energy,Grinding Breach,4,1,0,5,80.0
Boros Energy,Esper Frog,0,0,1,1,
Boros Energy,Eldrazi Ramp,2,2,0,4,50.0
Grinding Breach,Grinding Breach,4,4,0,8,50.0
Eldrazi Tron,Grinding Breach,2,2,1,5,50.0
Eldrazi Ramp,Eldrazi Ramp,3,3,0,6,50.0
Azorius Control,Eldrazi Ramp,0,1,1,2,0.0
Azorius Control,Grinding Breach,2,0,0,2,100.0
Eldrazi Ramp,Azorius Control,1,0,1,2,100.0
Rakdos Midrange,Eldrazi Ramp,0,1,0,1,0.0
Eldrazi Ramp,Rakdos Midrange,1,0,0,1,100.0
Boros Energy,Orzhov Blink,1,0,0,1,100.0
Grinding Breach,Azorius Control,0,2,0,2,0.0
Tameshi Belcher,Orzhov Necro,0,0,1,1,
Tameshi Belcher,Eldrazi Ramp,1,0,0,1,100.0
Orzhov Necro,Orzhov Necro,1,1,0,2,50.0
Orzhov Necro,Tameshi Belcher,0,0,1,1,
Orzhov Blink,Boros Energy,0,1,0,1,0.0
Eldrazi Ramp,Tameshi Belcher,0,1,0,1,0.0
Esper Frog,Dimir Murktide,0,0,1,1,
Dimir Murktide,Esper Frog,0,0,1,1,
Dimir Murktide,Grinding Breach,0,1,0,1,0.0
Mono-Blue Belcher,Mono-Green Broodscale,1,0,0,1,100.0
Mono-Green Broodscale,Mono-Blue Belcher,0,1,0,1,0.0
