archetype_a,archetype_b,win,loss,draw,games,winrate
Izzet Affinity,Izzet,2,4,0,6,33.3
Izzet Prowess,Boros Energy,2,3,0,5,40.0
Izzet Affinity,Ruby Storm,0,2,0,2,0.0
Izzet Affinity,Izzet Affinity,3,3,0,6,50.0
Dimir Midrange,Boros Aggro,1,1,0,2,50.0
Boros Aggro,Golgari Yawgmoth,2,0,0,2,100.0
Boros Aggro,W-U-B-G Goryo's Vengeance,2,2,0,4,50.0
Boros Aggro,Dimir Midrange,1,1,0,2,50.0
Golgari Yawgmoth,Domain Zoo,4,1,0,5,80.0
Golgari Yawgmoth,Boros Aggro,0,2,0,2,0.0
Golgari Yawgmoth,Mono-Red Storm,1,0,0,1,100.0
W-U-B-G Goryo's Vengeance,Boros Aggro,2,2,0,4,50.0
Mono-Red Storm,Golgari Yawgmoth,0,1,0,1,0.0
Mono-Red Storm,Domain Zoo,1,0,0,1,100.0
Domain Zoo,Golgari Yawgmoth,1,4,0,5,20.0
Domain Zoo,Mono-Red Storm,0,1,0,1,0.0
Boros Energy,Izzet,1,1,0,2,50.0
Mono-Red Storm,Amulet Titan,2,0,0,2,100.0
Amulet Titan,Boros Aggro,3,0,0,3,100.0
Boros Aggro,Amulet Titan,0,3,0,3,0.0
Boros Aggro,Izzet,1,1,0,2,50.0
Izzet,Boros Energy,1,1,0,2,50.0
Izzet,Boros Aggro,1,1,0,2,50.0
Izzet,W-U-B-G Goryo's Vengeance,3,0,0,3,100.0
Izzet Affinity,W-U-B-G Goryo's Vengeance,4,2,1,7,66.7
Izzet Affinity,Amulet Titan,2,2,0,4,50.0
Amulet Titan,Mono-Red Storm,0,2,0,2,0.0
Amulet Titan,Izzet Affinity,2,2,0,4,50.0
W-U-B-G Goryo's Vengeance,Izzet,0,3,0,3,0.0
W-U-B-G Goryo's Vengeance,Izzet Affinity,2,4,1,7,33.3
Domain Zoo,Azorius Blink,2,0,0,2,100.0
Domain Zoo,Amulet Titan,2,3,1,6,40.0
Amulet Titan,Domain Zoo,3,2,1,6,60.0
Izzet,Domain Zoo,2,2,0,4,50.0
Boros Energy,Grixis Reanimator,3,0,0,3,100.0
Domain Zoo,Izzet,2,2,0,4,50.0
Grixis Reanimator,Other,9,4,1,14,69.2
Grixis Reanimator,Boros Energy,0,3,0,3,0.0
Other,Grixis Reanimator,4,9,1,14,30.8
Azorius Blink,Golgari Yawgmoth,2,1,0,3,66.7
Azorius Blink,Domain Zoo,0,2,0,2,0.0
Golgari Yawgmoth,Azorius Blink,1,2,0,3,33.3
Other,Mono-Blue Belcher,3,7,1,11,30.0
Mono-Blue Belcher,Boros Energy,0,2,1,3,0.0
Mono-Blue Belcher,Ruby Storm,1,0,0,1,100.0
Mono-Blue Belcher,Other,7,3,1,11,70.0
Mono-Blue Belcher,Grixis Reanimator,2,0,0,2,100.0
Grixis Reanimator,Izzet Prowess,1,1,0,2,50.0
Grixis Reanimator,Mono-Blue Belcher,0,2,0,2,0.0
Grixis Reanimator,W-U-B-G Goryo's Vengeance,0,1,2,3,0.0
W-U-B-G Goryo's Vengeance,Grixis Reanimator,1,0,2,3,100.0
Boros Energy,Mono-Blue Belcher,2,0,1,3,100.0
Boros Energy,Ruby Storm,3,0,0,3,100.0
Izzet Prowess,Grixis Reanimator,1,1,0,2,50.0
Ruby Storm,Mono-Blue Belcher,0,1,0,1,0.0
Ruby Storm,Boros Energy,0,3,0,3,0.0
Domain Zoo,Boros,1,0,0,1,100.0
Boros,Domain Zoo,0,1,0,1,0.0
Other,Azorius Blink,8,11,2,21,42.1
Azorius Blink,Other,11,8,2,21,57.9
Azorius Blink,Ruby Storm,1,2,1,4,33.3
Ruby Storm,Azorius Blink,2,1,1,4,66.7
Amulet Titan,Grixis Reanimator,1,1,0,2,50.0
Grixis Reanimator,Amulet Titan,1,1,0,2,50.0
Gruul Eldrazi Ramp,Boros Aggro,1,0,0,1,100.0
Gruul Eldrazi Ramp,Domain Zoo,1,1,0,2,50.0
Gruul Eldrazi Ramp,Other,8,5,1,14,61.5
Gruul Eldrazi Ramp,Boros Energy,2,1,0,3,66.7
Domain Zoo,Boros Energy,3,2,0,5,60.0
Domain Zoo,Gruul Eldrazi Ramp,1,1,0,2,50.0
Domain Zoo,Esper Blink,1,0,0,1,100.0
Domain Zoo,Izzet Affinity,0,2,0,2,0.0
Other,Gruul Eldrazi Ramp,5,8,1,14,38.5
Izzet Affinity,Domain Zoo,2,0,0,2,100.0
Boros Energy,Domain Zoo,2,3,0,5,40.0
Boros Energy,Gruul Eldrazi Ramp,1,2,0,3,33.3
Temur Living End,Boros Aggro,2,1,0,3,66.7
Temur Living End,Azorius Blink,1,1,1,3,50.0
Temur Living End,W-U-B-G Goryo's Vengeance,1,1,0,2,50.0
Temur Living End,Izzet Prowess,1,2,0,3,33.3
Temur Living End,Other,11,6,1,18,64.7
Boros Aggro,Temur Living End,1,2,0,3,33.3
Izzet,Izzet Prowess,1,0,0,1,100.0
W-U-B-G Goryo's Vengeance,Azorius Blink,1,1,0,2,50.0
W-U-B-G Goryo's Vengeance,Temur Living End,1,1,0,2,50.0
Other,Temur Living End,6,11,1,18,35.3
Azorius Blink,W-U-B-G Goryo's Vengeance,1,1,0,2,50.0
Azorius Blink,Temur Living End,1,1,1,3,50.0
Azorius Blink,Boros Aggro,1,0,0,1,100.0
Azorius Blink,Izzet Prowess,3,1,0,4,75.0
Boros Aggro,Gruul Eldrazi Ramp,0,1,0,1,0.0
Boros Aggro,Azorius Blink,0,1,0,1,0.0
Izzet Prowess,Izzet,0,1,0,1,0.0
Izzet Prowess,Temur Living End,2,1,0,3,66.7
Izzet Prowess,Esper Blink,4,1,0,5,80.0
Izzet Prowess,Azorius Blink,1,3,0,4,25.0
Esper Blink,Izzet Prowess,1,4,0,5,20.0
Esper Blink,Domain Zoo,0,1,0,1,0.0
Boros Energy,Azorius Blink,4,2,0,6,66.7
Izzet Affinity,Temur Living End,1,0,1,2,100.0
Izzet Affinity,Grixis Reanimator,1,1,0,2,50.0
Izzet Affinity,Azorius Blink,1,0,0,1,100.0
Izzet Affinity,Golgari Yawgmoth,1,0,0,1,100.0
Izzet Affinity,Gruul Broodscale,1,2,1,4,33.3
Azorius Blink,Esper Blink,2,1,0,3,66.7
Azorius Blink,Boros Energy,2,4,0,6,33.3
Gruul Broodscale,Azorius Blink,2,1,0,3,66.7
Gruul Broodscale,W-U-B-G Goryo's Vengeance,1,1,0,2,50.0
Gruul Broodscale,Mono-Blue Belcher,2,1,0,3,66.7
Gruul Broodscale,Izzet Affinity,2,1,1,4,66.7
Boros Energy,Temur Living End,5,0,0,5,100.0
Grixis Reanimator,Izzet Affinity,1,1,0,2,50.0
Grixis Reanimator,Mono-Red Storm,1,0,0,1,100.0
Grixis Reanimator,Gruul Eldrazi Ramp,2,1,0,3,66.7
Izzet Affinity,Mono-Blue Belcher,2,1,0,3,66.7
Izzet Affinity,Mono-Red Storm,1,0,0,1,100.0
Temur Living End,Temur Living End,1,1,0,2,50.0
Temur Living End,Izzet Affinity,0,1,1,2,0.0
Azorius Blink,Gruul Eldrazi Ramp,0,0,1,1,
Boros Aggro,Gruul Broodscale,2,0,0,2,100.0
Boros Aggro,Izzet Prowess,1,1,0,2,50.0
Amulet Titan,Gruul Eldrazi Ramp,1,1,0,2,50.0
Domain Zoo,W-U-B-G Goryo's Vengeance,2,0,0,2,100.0
Esper Blink,Amulet Titan,1,1,1,3,50.0
Esper Blink,Mono-Blue Belcher,3,0,0,3,100.0
Esper Blink,Mono-Red Storm,1,0,0,1,100.0
Esper Blink,Azorius Blink,1,2,0,3,33.3
Esper Blink,Temur Living End,2,0,0,2,100.0
Esper Blink,Gruul Eldrazi Ramp,1,0,0,1,100.0
W-U-B-G Goryo's Vengeance,Gruul Broodscale,1,1,0,2,50.0
W-U-B-G Goryo's Vengeance,Gruul Eldrazi Ramp,1,1,0,2,50.0
Golgari Yawgmoth,Amulet Titan,1,0,0,1,100.0
Golgari Yawgmoth,Izzet Affinity,0,1,0,1,0.0
Azorius Blink,Gruul Broodscale,1,2,0,3,33.3
Izzet Affinity,Dimir Midrange,1,0,0,1,100.0
Azorius Blink,Izzet Affinity,0,1,0,1,0.0
Azorius Blink,Amulet Titan,2,0,0,2,100.0
Gruul Eldrazi Ramp,Gruul Broodscale,0,1,0,1,0.0
Gruul Eldrazi Ramp,Mono-Blue Belcher,1,2,0,3,33.3
Gruul Eldrazi Ramp,Grixis Reanimator,1,2,0,3,33.3
Ruby Storm,Mono-Red Storm,1,1,0,2,50.0
Ruby Storm,Izzet,0,1,0,1,0.0
Ruby Storm,W-U-B-G Goryo's Vengeance,1,0,0,1,100.0
Mono-Red Storm,Ruby Storm,1,1,0,2,50.0
Mono-Red Storm,Grixis Reanimator,0,1,0,1,0.0
Mono-Red Storm,Esper Blink,0,1,0,1,0.0
Gruul Broodscale,Gruul Eldrazi Ramp,1,0,0,1,100.0
Gruul Broodscale,Boros Aggro,0,2,0,2,0.0
Gruul Broodscale,Temur Living End,1,2,0,3,33.3
Gruul Broodscale,Izzet Prowess,1,1,0,2,50.0
Izzet,Mono-Blue Belcher,1,1,0,2,50.0
Izzet,Ruby Storm,1,0,0,1,100.0
Mono-Blue Belcher,Gruul Eldrazi Ramp,2,1,0,3,66.7
