archetype_a,archetype_b,win,loss,draw,games,winrate
Boros Energy,Azorius Affinity,2,1,0,3,66.7
Boros Energy,Gruul Eldrazi,3,1,0,4,75.0
Boros Energy,Golgari Combo,1,0,0,1,100.0
Boros Energy,Boros Aggro,1,0,0,1,100.0
Boros Energy,Bant Murktide,1,0,0,1,100.0
Boros Energy,Orzhov Midrange,1,1,0,2,50.0
Boros Energy,Simic Aggro,0,1,0,1,0.0
Jeskai Midrange,Bant Murktide,1,0,0,1,100.0
Jeskai Midrange,Esper Oculus,0,1,0,1,0.0
Jeskai Midrange,Esper Midrange,1,0,0,1,100.0
Jeskai Midrange,Dimir Control,1,0,0,1,100.0
Jeskai Midrange,Boros Energy,1,0,0,1,100.0
Jeskai Midrange,Mono-Blue Belcher,1,1,0,2,50.0
Boros Energy,Simic Combo,0,3,0,3,0.0
Boros Energy,Izzet Aggro,2,2,0,4,50.0
Boros Energy,Simic Control,1,0,0,1,100.0
Boros Energy,W-U-B-R-G,2,0,0,2,100.0
Boros Energy,Boros Energy,3,3,2,8,50.0
Simic Aggro,W-U-R-G Domain,1,0,0,1,100.0
Simic Aggro,Grixis Aggro,1,0,0,1,100.0
Simic Aggro,Simic Combo,2,0,1,3,100.0
Simic Aggro,Dimir Mill,1,0,0,1,100.0
Simic Aggro,Izzet Aggro,0,0,1,1,
Simic Aggro,Boros Energy,1,0,0,1,100.0
Simic Combo,Mardu Energy,1,0,0,1,100.0
Simic Combo,Esper Midrange,1,1,0,2,50.0
Simic Combo,Boros Energy,3,0,0,3,100.0
Simic Combo,Orzhov Midrange,1,1,0,2,50.0
Simic Combo,Simic Aggro,0,2,1,3,0.0
Simic Combo,Mono-Blue Belcher,0,0,1,1,
Izzet Aggro,Orzhov Control,1,0,0,1,100.0
Izzet Aggro,Izzet,1,0,0,1,100.0
Izzet Aggro,Boros Hammer Time,1,0,0,1,100.0
Izzet Aggro,Boros Energy,2,2,0,4,50.0
Izzet Aggro,Mono-Blue Belcher,1,0,1,2,100.0
Izzet Aggro,Simic Aggro,0,0,1,1,
Mono-Blue Belcher,Boros Aggro,1,0,0,1,100.0
Mono-Blue Belcher,W-U-R-G Domain,2,0,0,2,100.0
Mono-Blue Belcher,Gruul Eldrazi,1,0,0,1,100.0
Mono-Blue Belcher,W-U-B-R-G,1,1,0,2,50.0
Mono-Blue Belcher,Izzet Aggro,0,1,1,2,0.0
Mono-Blue Belcher,Simic Combo,0,0,1,1,
Mono-Blue Belcher,Jeskai Midrange,1,1,0,2,50.0
Azorius Affinity,Boros Energy,1,2,0,3,33.3
Azorius Affinity,W-U-R-G Domain,1,0,0,1,100.0
Azorius Affinity,Esper Oculus,1,0,0,1,100.0
Azorius Affinity,Dimir Mill,0,0,1,1,
Dimir Mill,Esper Control,1,0,0,1,100.0
Dimir Mill,Esper Oculus,1,0,0,1,100.0
Dimir Mill,Simic Aggro,0,1,0,1,0.0
Dimir Mill,Orzhov Midrange,1,0,0,1,100.0
Dimir Mill,Azorius Affinity,0,0,1,1,
Boros Energy,W-U-R-G Domain,2,3,0,5,40.0
Boros Energy,Esper Midrange,2,0,0,2,100.0
Orzhov Midrange,Mono-White,1,0,0,1,100.0
Orzhov Midrange,Mono-Green,2,0,0,2,100.0
Orzhov Midrange,Esper Oculus,1,0,0,1,100.0
