archetype_a,archetype_b,win,loss,draw,games,winrate
Mono-Green Amulet Titan,W-U-R-G Domain,3,0,1,4,100.0
Mono-Green Amulet Titan,Esper Midrange,3,0,1,4,100.0
Mono-Green Amulet Titan,Izzet Prowess,3,1,0,4,75.0
Mono-Green Amulet Titan,Jeskai Control,1,0,0,1,100.0
Mono-Green Amulet Titan,Boros Energy,1,0,0,1,100.0
Mono-Green Amulet Titan,Mono-Green Amulet Titan,0,0,2,2,
Mono-Green Amulet Titan,Azorius Energy,1,1,0,2,50.0
Mono-Green Amulet Titan,Mono-Blue Belcher,2,0,0,2,100.0
Mono-Green Amulet Titan,Gruul Combo,1,0,0,1,100.0
Mono-Green Amulet Titan,Colorless Eldrazi,1,0,0,1,100.0
Mono-Green Amulet Titan,Izzet Affinity,1,0,0,1,100.0
Mono-Green Amulet Titan,Mono-Blue Eldrazi,1,0,0,1,100.0
Mono-Green Amulet Titan,Gruul Aggro,2,0,0,2,100.0
Gruul Aggro,Colorless,0,0,1,1,
Gruul Aggro,Azorius Control (Kaheera),1,1,0,2,50.0
Gruul Aggro,Jund Midrange,1,0,0,1,100.0
Gruul Aggro,W-U-B-G Goryo's Vengeance,2,0,0,2,100.0
Gruul Aggro,Azorius Control,0,0,1,1,
Gruul Aggro,Mono-White Aggro,1,0,0,1,100.0
Gruul Aggro,Gruul Combo,1,0,0,1,100.0
Gruul Aggro,Izzet Affinity,2,0,0,2,100.0
Gruul Aggro,Mono-Green Amulet Titan,0,2,0,2,0.0
W-U-R-G Domain,Jeskai Energy,1,0,0,1,100.0
W-U-R-G Domain,Esper Combo,1,0,0,1,100.0
W-U-R-G Domain,Boros,2,0,0,2,100.0
W-U-R-G Domain,Mono-Green Eldrazi,1,0,0,1,100.0
W-U-R-G Domain,Mono-Blue Eldrazi,1,0,0,1,100.0
W-U-R-G Domain,Mono-Green Amulet Titan,0,3,1,4,0.0
W-U-R-G Domain,Izzet Prowess,1,2,0,3,33.3
W-U-R-G Domain,Esper Midrange,1,3,0,4,25.0
Esper Midrange,W-U-R-G Domain,3,1,0,4,75.0
Esper Midrange,Orzhov Midrange,1,0,0,1,100.0
Esper Midrange,Mono-Blue Belcher,3,0,0,3,100.0
Esper Midrange,Mono-Green Amulet Titan,0,3,1,4,0.0
Esper Midrange,Izzet Affinity,4,6,0,10,40.0
Izzet Affinity,Mono-Black,1,0,0,1,100.0
Izzet Affinity,Izzet,1,0,0,1,100.0
Izzet Affinity,Esper Midrange,6,4,0,10,60.0
Izzet Affinity,Izzet Prowess,2,5,0,7,28.6
Izzet Affinity,Mono-Green Amulet Titan,0,1,0,1,0.0
Izzet Affinity,W-U-R-G Domain,2,1,0,3,66.7
Izzet Affinity,Mono-Blue Eldrazi,0,1,1,2,0.0
Izzet Affinity,Gruul Aggro,0,2,0,2,0.0
Mono-Blue Eldrazi,W-U-B-G Goryo's Vengeance,1,0,0,1,100.0
Mono-Blue Eldrazi,Esper Midrange,1,0,0,1,100.0
Mono-Blue Eldrazi,Azorius Energy,1,0,0,1,100.0
Mono-Blue Eldrazi,Izzet Affinity,1,0,1,2,100.0
Mono-Blue Eldrazi,W-U-R-G Domain,0,1,0,1,0.0
Mono-Blue Eldrazi,Izzet Prowess,1,0,0,1,100.0
Mono-Blue Eldrazi,Mono-Green Eldrazi,1,0,0,1,100.0
Mono-Blue Eldrazi,Mono-Green Amulet Titan,0,1,0,1,0.0
Azorius Energy,Mono-Green Amulet Titan,1,1,0,2,50.0
Azorius Energy,Colorless Eldrazi,2,0,0,2,100.0
Azorius Energy,Mono-Blue Eldrazi,0,1,0,1,0.0
Azorius Energy,Esper Midrange,1,1,0,2,50.0
Azorius Energy,Izzet Prowess,1,0,0,1,100.0
Azorius Energy,Simic Combo,1,0,0,1,100.0
Mono-Green Eldrazi,Izzet Affinity,2,0,0,2,100.0
Mono-Green Eldrazi,Izzet Prowess,2,0,0,2,100.0
Mono-Green Eldrazi,W-U-R-G Domain,0,1,0,1,0.0
Mono-Green Eldrazi,Boros,1,0,0,1,100.0
Mono-Green Eldrazi,Simic Combo,1,0,0,1,100.0
Mono-Green Eldrazi,Mono-Blue Eldrazi,0,1,0,1,0.0
Esper Midrange,Izzet Prowess,5,4,0,9,55.6
Esper Midrange,Colorless Eldrazi,2,3,0,5,40.0
Esper Midrange,Boros,1,0,0,1,100.0
Esper Midrange,Mono-White Aggro,1,0,0,1,100.0
Mono-Green Amulet Titan,Azorius Control (Kaheera),1,0,0,1,100.0
Mono-Green Amulet Titan,Esper,1,0,0,1,100.0
W-U-B-G Goryo's Vengeance,Mono-Blue Belcher,6,4,0,10,60.0
W-U-B-G Goryo's Vengeance,Mono-Blue Merfolk,1,0,0,1,100.0
W-U-B-G Goryo's Vengeance,Izzet Affinity,2,6,0,8,25.0
W-U-B-G Goryo's Vengeance,Izzet Prowess,4,0,0,4,100.0
W-U-B-G Goryo's Vengeance,Boros,1,0,0,1,100.0
W-U-B-G Goryo's Vengeance,Grixis Control,1,0,0,1,100.0
W-U-B-G Goryo's Vengeance,Azorius Control,1,0,1,2,100.0
W-U-B-G Goryo's Vengeance,Mardu Aggro,1,0,0,1,100.0
W-U-B-G Goryo's Vengeance,Gruul Aggro,0,2,0,2,0.0
W-U-B-G Goryo's Vengeance,Boros Aggro,1,1,0,2,50.0
W-U-B-G Goryo's Vengeance,W-U-R-G Aggro,2,0,0,2,100.0
W-U-B-G Goryo's Vengeance,Boros Energy,3,1,0,4,75.0
W-U-B-G Goryo's Vengeance,W-U-R-G Domain,0,1,1,2,0.0
W-U-R-G Domain,W-U-B-G Goryo's Vengeance,1,0,1,2,100.0
W-U-R-G Domain,Mono-Blue Merfolk,1,0,0,1,100.0
W-U-R-G Domain,Izzet Affinity,1,2,0,3,33.3
W-U-R-G Domain,Colorless Eldrazi,1,0,0,1,100.0
W-U-R-G Domain,Gruul Combo,1,0,0,1,100.0
Gruul Combo,Esper Control,1,0,0,1,100.0
Gruul Combo,Mono-Green Amulet Titan,0,1,0,1,0.0
Gruul Combo,Gruul Eldrazi,0,0,1,1,
Gruul Combo,Dimir Mill,1,0,0,1,100.0
Gruul Combo,Colorless,1,0,0,1,100.0
Gruul Combo,Izzet Aggro,1,0,0,1,100.0
Gruul Combo,Mono-Blue Belcher,1,1,0,2,50.0
Gruul Combo,Gruul Aggro,0,1,0,1,0.0
Boros Energy,Rakdos,2,0,0,2,100.0
Boros Energy,Simic Combo,1,1,0,2,50.0
Boros Energy,Esper,1,1,0,2,50.0
Boros Energy,Mono-White Aggro,0,0,1,1,
