archetype_a,archetype_b,win,loss,draw,games,winrate
Azorius Affinity,Eldrazi Ramp,3,0,1,4,100.0
Azorius Affinity,Amulet Titan,4,2,1,7,66.7
Azorius Affinity,Orzhov Midrange,1,0,0,1,100.0
Azorius Affinity,Mono-Blue Belcher,7,2,0,9,77.8
Azorius Affinity,Jeskai Affinity,1,0,0,1,100.0
Azorius Affinity,Jeskai Control,2,1,0,3,66.7
Azorius Affinity,Colorless Eldrazi,1,1,0,2,50.0
Azorius Affinity,Dimir Oculus,2,2,0,4,50.0
Azorius Affinity,Boros Energy,11,10,1,22,52.4
Azorius Affinity,Mardu Energy,0,2,0,2,0.0
Azorius Affinity,Izzet Prowess,10,6,0,16,62.5
Azorius Affinity,Five-Color Creativity,1,0,0,1,100.0
Azorius Affinity,Azorius Affinity,4,4,2,10,50.0
Azorius Affinity,Orzhov Blink,4,6,0,10,40.0
Azorius Affinity,Gruul Broodscale,0,1,1,2,0.0
Azorius Affinity,Esper Reanimator,4,3,0,7,57.1
Orzhov Blink,Domain Zoo,8,2,1,11,80.0
Orzhov Blink,Jeskai Control,3,2,0,5,60.0
Orzhov Blink,Amulet Titan,4,4,1,9,50.0
Orzhov Blink,Azorius Affinity,6,4,0,10,60.0
Orzhov Blink,Boros Energy,15,8,1,24,65.2
Orzhov Blink,Mono-Blue Belcher,2,1,0,3,66.7
Orzhov Blink,Izzet Prowess,10,8,0,18,55.6
Orzhov Blink,Esper Reanimator,5,2,0,7,71.4
Orzhov Blink,Esper Blink,3,3,1,7,50.0
Gruul Broodscale,Domain Zoo,5,2,1,8,71.4
Gruul Broodscale,Izzet Prowess,13,2,0,15,86.7
Gruul Broodscale,Living End,3,0,0,3,100.0
Gruul Broodscale,Esper Blink,2,2,0,4,50.0
Gruul Broodscale,Boros Energy,7,6,0,13,53.8
Gruul Broodscale,Eldrazi Ramp,6,1,0,7,85.7
Gruul Broodscale,Mono-Blue Belcher,2,3,0,5,40.0
Gruul Broodscale,Grixis Midrange,1,1,0,2,50.0
Gruul Broodscale,Mardu Energy,1,0,0,1,100.0
Gruul Broodscale,Azorius Affinity,1,0,1,2,100.0
Esper Blink,Living End,1,1,1,3,50.0
Esper Blink,Amulet Titan,9,4,0,13,69.2
Esper Blink,Neoform,1,4,0,5,20.0
Esper Blink,Eldrazi Ramp,8,7,0,15,53.3
Esper Blink,Orzhov Blink,3,3,1,7,50.0
Esper Blink,Dimir Midrange,2,0,0,2,100.0
Esper Blink,Boros Energy,11,13,0,24,45.8
Esper Blink,Colorless Eldrazi,1,0,0,1,100.0
Esper Blink,Jeskai Affinity,1,1,0,2,50.0
Esper Blink,Mono-Blue Belcher,4,4,0,8,50.0
Esper Blink,Gruul Broodscale,2,2,0,4,50.0
Esper Blink,Izzet Prowess,16,6,0,22,72.7
