archetype_a,archetype_b,win,loss,draw,games,winrate
Mono-Blue Merfolk,Izzet Aggro,1,0,0,1,100.0
Mono-Blue Merfolk,Dimir Oculus,1,0,0,1,100.0
Mono-Blue Merfolk,Gruul Eldrazi,1,0,0,1,100.0
Mono-Blue Merfolk,Gruul Combo,2,0,0,2,100.0
Mono-Blue Merfolk,Jeskai Affinity,0,0,2,2,
Mono-Blue Merfolk,Dimir Mill,1,0,0,1,100.0
Mono-Blue Merfolk,Jeskai Hammer Time,1,0,0,1,100.0
Jeskai Affinity,Jeskai Aggro,2,0,0,2,100.0
Jeskai Affinity,Grixis Murktide,2,0,0,2,100.0
Jeskai Affinity,Grixis Combo,1,0,0,1,100.0
Jeskai Affinity,Mono-Blue Merfolk,0,0,2,2,
Jeskai Affinity,Esper Aggro,0,0,1,1,
Jeskai Affinity,Boros Energy,1,0,0,1,100.0
Esper Aggro,Orzhov Midrange,0,0,1,1,
Esper Aggro,Colorless Eldrazi,1,0,0,1,100.0
Esper Aggro,Dimir Oculus,1,0,0,1,100.0
Esper Aggro,Azorius,1,0,0,1,100.0
Esper Aggro,Boros Energy,1,1,0,2,50.0
Esper Aggro,Jeskai Affinity,0,0,1,1,
Gruul Combo,Mono-Green Eldrazi,1,0,0,1,100.0
Gruul Combo,Dimir Mill,1,0,0,1,100.0
Gruul Combo,W-U-B-R-G Domain,1,0,0,1,100.0
Gruul Combo,Mono-Blue Merfolk,0,2,0,2,0.0
Gruul Combo,Esper Midrange,1,0,0,1,100.0
Gruul Combo,Gruul Eldrazi,1,0,1,2,100.0
Gruul Eldrazi,Izzet,2,1,0,3,66.7
Gruul Eldrazi,Gruul Eldrazi,1,1,0,2,50.0
Gruul Eldrazi,Mono-Blue Merfolk,0,1,0,1,0.0
Gruul Eldrazi,W-U-R-G Domain,1,0,0,1,100.0
Gruul Eldrazi,W-U-B-R-G Domain,1,0,0,1,100.0
Gruul Eldrazi,Gruul Combo,0,1,1,2,0.0
Boros Energy,Boros Aggro,2,0,0,2,100.0
Boros Energy,Boros Energy,1,1,0,2,50.0
Boros Energy,Azorius,0,0,1,1,
Boros Energy,Jeskai Hammer Time,1,0,0,1,100.0
Boros Energy,Esper Aggro,1,1,0,2,50.0
Boros Energy,W-U-B-R-G Domain,1,2,0,3,33.3
Boros Energy,Jeskai Affinity,0,1,0,1,0.0
Grixis Murktide,Azorius Belcher,1,0,0,1,100.0
Grixis Murktide,Jeskai Affinity,0,2,0,2,0.0
Grixis Murktide,Boros Energy,1,0,0,1,100.0
Grixis Murktide,Esper,1,0,0,1,100.0
Grixis Murktide,Azorius,1,0,0,1,100.0
Grixis Murktide,Orzhov Midrange,0,0,1,1,
Orzhov Midrange,Grixis Combo,0,1,0,1,0.0
Orzhov Midrange,Jeskai Aggro,3,0,0,3,100.0
Orzhov Midrange,Boros Storm,1,0,0,1,100.0
Orzhov Midrange,Grixis Murktide,0,0,1,1,
Jeskai Hammer Time,Colorless Eldrazi,0,0,1,1,
Jeskai Hammer Time,Orzhov Midrange,2,0,0,2,100.0
Jeskai Hammer Time,Boros Energy,0,1,0,1,0.0
Jeskai Hammer Time,W-U-R-G Domain,1,0,0,1,100.0
Jeskai Hammer Time,Jeskai Aggro,1,0,0,1,100.0
Jeskai Hammer Time,Mono-Blue Merfolk,0,1,0,1,0.0
Grixis Combo,Orzhov Midrange,1,0,0,1,100.0
Grixis Combo,Esper,1,0,0,1,100.0
Grixis Combo,Jeskai Affinity,0,1,0,1,0.0
Grixis Combo,W-U-B-R-G Domain,0,1,0,1,0.0
Grixis Combo,Colorless Eldrazi,1,0,0,1,100.0
Grixis Combo,Esper Midrange,1,0,0,1,100.0
Dimir Mill,Orzhov Midrange,1,0,0,1,100.0
Dimir Mill,Gruul Combo,0,1,0,1,0.0
Dimir Mill,Gruul Eldrazi,1,0,0,1,100.0
Dimir Mill,Dimir Oculus,1,0,0,1,100.0
Dimir Mill,Esper,1,0,0,1,100.0
Dimir Mill,Mono-Blue Merfolk,0,1,0,1,0.0
Boros Energy,Dimir Oculus,1,0,0,1,100.0
Boros Energy,Gruul Combo,1,3,0,4,25.0
Boros Energy,Esper,1,1,0,2,50.0
Boros Energy,Jeskai Aggro,1,0,0,1,100.0
Boros Energy,Gruul Eldrazi,2,1,0,3,66.7
Izzet,Gruul Eldrazi,1,2,0,3,33.3
Izzet,W-U-R-G Domain,0,1,0,1,0.0
Izzet,Jeskai Aggro,1,0,0,1,100.0
Izzet,Mono-Green Eldrazi,1,0,0,1,100.0
Izzet,Esper,1,0,0,1,100.0
Gruul Combo,Boros Energy,3,1,0,4,75.0
Gruul Combo,Jeskai Aggro,0,1,0,1,0.0
Gruul Combo,Izzet Eldrazi,1,0,0,1,100.0
Izzet Aggro,Azorius,0,1,0,1,0.0
Izzet Aggro,Dimir Oculus,0,1,0,1,0.0
Izzet Aggro,Colorless Eldrazi,1,1,0,2,50.0
Izzet Aggro,Azorius Belcher,1,0,0,1,100.0
Izzet Aggro,Abzan Combo,1,1,0,2,50.0
Izzet Aggro,Jund Hollow End,1,0,0,1,100.0
Orzhov Midrange,Esper Aggro,0,0,1,1,
Orzhov Midrange,Esper,1,0,0,1,100.0
Orzhov Midrange,Jeskai Hammer Time,0,2,0,2,0.0
Orzhov Midrange,Boros Energy,1,1,0,2,50.0
Orzhov Midrange,Azorius,1,0,0,1,100.0
W-U-B-R-G Domain,Boros Energy,2,1,0,3,66.7
W-U-B-R-G Domain,Gruul Combo,0,1,0,1,0.0
W-U-B-R-G Domain,Grixis Combo,1,0,0,1,100.0
W-U-B-R-G Domain,Gruul Eldrazi,0,1,0,1,0.0
Jeskai Aggro,Gruul Eldrazi,1,1,0,2,50.0
Jeskai Aggro,Esper Midrange,1,1,0,2,50.0
Jeskai Aggro,Jeskai Aggro,2,2,0,4,50.0
Jeskai Aggro,Jeskai Affinity,0,2,0,2,0.0
Jeskai Aggro,Orzhov Midrange,0,3,0,3,0.0
Jeskai Aggro,Jeskai Hammer Time,0,1,0,1,0.0
Esper,Jund Hollow End,1,0,0,1,100.0
Esper,Grixis Combo,0,1,0,1,0.0
Esper,Jund Midrange,1,0,0,1,100.0
Esper,Boros Energy,1,1,0,2,50.0
Esper,Dimir Mill,0,1,0,1,0.0
Esper,Izzet,0,1,0,1,0.0
Boros Energy,Izzet,2,0,0,2,100.0
Boros Energy,Grixis Murktide,0,1,0,1,0.0
Boros Energy,Orzhov Midrange,1,1,0,2,50.0
Esper Midrange,Izzet Aggro,1,0,0,1,100.0
Esper Midrange,Jeskai Aggro,1,1,0,2,50.0
Esper Midrange,Gruul Eldrazi,1,0,0,1,100.0
Esper Midrange,Gruul Combo,0,1,0,1,0.0
Esper Midrange,Grixis Combo,0,1,0,1,0.0
Jeskai Aggro,Izzet Aggro,1,0,0,1,100.0
Jeskai Aggro,Mono-Green Eldrazi,1,0,0,1,100.0
Jeskai Aggro,Boros Energy,0,1,0,1,0.0
Mono-Green Eldrazi,Gruul Combo,0,1,0,1,0.0
Mono-Green Eldrazi,Izzet Eldrazi,1,0,0,1,100.0
Mono-Green Eldrazi,Jeskai Aggro,0,1,0,1,0.0
Mono-Green Eldrazi,Dimir Oculus,1,0,0,1,100.0
Mono-Green Eldrazi,Izzet,0,1,0,1,0.0
Mono-Green Eldrazi,Izzet Aggro,1,0,0,1,100.0
Gruul Eldrazi,Jeskai Aggro,1,1,0,2,50.0
Gruul Eldrazi,Boros Energy,1,2,0,3,33.3
Gruul Eldrazi,Esper Midrange,0,1,0,1,0.0
Gruul Eldrazi,Jund Midrange,1,0,0,1,100.0
Gruul Eldrazi,Dimir Oculus,1,0,0,1,100.0
Boros Energy,W-U-R-G Domain,0,1,0,1,0.0
Boros Energy,Boros Storm,1,0,0,1,100.0
Jund Hollow End,Esper,0,1,0,1,0.0
Jund Hollow End,Boros Storm,0,1,0,1,0.0
Jund Hollow End,Orzhov Midrange,1,0,0,1,100.0
Jund Hollow End,Boros Energy,1,0,0,1,100.0
Jund Hollow End,Jeskai Aggro,1,0,0,1,100.0
Jund Hollow End,Izzet Aggro,0,1,0,1,0.0
Abzan Combo,Jund Midrange,0,1,0,1,0.0
Abzan Combo,Izzet Aggro,1,1,0,2,50.0
Abzan Combo,Esper,0,1,0,1,0.0
Abzan Combo,Izzet,1,0,0,1,100.0
