archetype_a,archetype_b,win,loss,draw,games,winrate
Gruul Eldrazi Ramp,Boros Aggro,1,0,0,1,100.0
Gruul Eldrazi Ramp,W-U-R-G Domain Zoo,1,0,0,1,100.0
Gruul Eldrazi Ramp,Izzet Aggro,1,0,0,1,100.0
Gruul Eldrazi Ramp,W-U-B-G,1,0,0,1,100.0
Gruul Eldrazi Ramp,Colorless Eldrazi Tron,0,1,1,2,0.0
Gruul Eldrazi Ramp,Boros Energy,1,0,0,1,100.0
W-U-R-G Domain Zoo,Boros Energy,2,0,0,2,100.0
W-U-R-G Domain Zoo,Gruul Eldrazi Ramp,0,1,0,1,0.0
W-U-R-G Domain Zoo,Jund Combo,1,0,0,1,100.0
W-U-R-G Domain Zoo,Esper Blink,1,0,0,1,100.0
W-U-R-G Domain Zoo,Izzet Affinity,0,1,0,1,0.0
Mono-Green Eldrazi Broodscale,Colorless Eldrazi Tron,0,1,0,1,0.0
Mono-Green Eldrazi Broodscale,Boros Aggro,1,0,0,1,100.0
Mono-Green Eldrazi Broodscale,Boros Land Destruction,1,0,0,1,100.0
Mono-Green Eldrazi Broodscale,Izzet,1,0,0,1,100.0
Mono-Green Eldrazi Broodscale,Izzet Affinity,1,1,0,2,50.0
Mono-Green Eldrazi Broodscale,Izzet Aggro,1,0,0,1,100.0
Esper Goryo's,Boros Land Destruction,0,1,0,1,0.0
Esper Goryo's,Boros Energy,1,0,0,1,100.0
Esper Goryo's,Izzet Prowess,1,0,0,1,100.0
Esper Goryo's,Boros Aggro,1,0,0,1,100.0
Esper Goryo's,W-U-B-G,1,0,0,1,100.0
Esper Goryo's,Colorless Eldrazi Tron,0,1,0,1,0.0
Colorless Eldrazi Tron,Mono-Green Eldrazi Broodscale,1,0,0,1,100.0
Colorless Eldrazi Tron,Boros Energy,1,0,0,1,100.0
Colorless Eldrazi Tron,Izzet Metalcraft,1,0,0,1,100.0
Colorless Eldrazi Tron,Mono-Green Amulet Titan,0,0,1,1,
Colorless Eldrazi Tron,Gruul Eldrazi Ramp,1,0,1,2,100.0
Colorless Eldrazi Tron,Esper Goryo's,1,0,0,1,100.0
Colorless Eldrazi Tron,Izzet Affinity,1,0,0,1,100.0
Mono-Green Amulet Titan,Izzet Affinity,1,0,0,1,100.0
Mono-Green Amulet Titan,Izzet Prowess,1,0,0,1,100.0
Mono-Green Amulet Titan,Boros Aggro,1,0,0,1,100.0
Mono-Green Amulet Titan,Colorless Eldrazi Tron,0,0,1,1,
Mono-Green Amulet Titan,Izzet Aggro,0,0,1,1,
Izzet Aggro,Jund Combo,1,0,0,1,100.0
Izzet Aggro,Izzet Eldrazi,1,0,0,1,100.0
Izzet Aggro,Gruul Eldrazi Ramp,0,1,0,1,0.0
Izzet Aggro,Izzet Metalcraft,1,0,0,1,100.0
Izzet Aggro,Mono-Green Amulet Titan,0,0,1,1,
Izzet Aggro,Mono-Green Eldrazi Broodscale,0,1,0,1,0.0
Izzet Affinity,Izzet Eldrazi,0,0,1,1,
Izzet Affinity,Simic Ritual,1,0,0,1,100.0
Izzet Affinity,Izzet Prowess,1,0,0,1,100.0
Izzet Affinity,Boros Energy,0,1,0,1,0.0
Izzet Affinity,Boros Aggro,1,1,0,2,50.0
Izzet Affinity,W-U-R-G Domain Zoo,1,0,0,1,100.0
Izzet Affinity,Mono-Green Eldrazi Broodscale,1,1,0,2,50.0
