archetype_a,archetype_b,win,loss,draw,games,winrate
Jeskai Blink,Izzet Prowess,18,9,0,27,66.7
Jeskai Blink,Dimir Mill,3,0,0,3,100.0
Jeskai Blink,Amulet Titan,19,29,1,49,39.6
Jeskai Blink,Boros Energy,16,13,1,30,55.2
Jeskai Blink,Gruul Broodscale,6,1,0,7,85.7
Jeskai Blink,Izzet Affinity,10,12,1,23,45.5
Jeskai Blink,Domain Zoo,15,3,1,19,83.3
Jeskai Blink,Esper Goryo's,20,14,2,36,58.8
Jeskai Blink,Azorius Control (Kaheera),5,2,1,8,71.4
Jeskai Blink,Jeskai Blink,7,7,0,14,50.0
Izzet Prowess,Izzet Prowess,29,29,0,58,50.0
Izzet Prowess,Amulet Titan,36,47,1,84,43.4
Izzet Prowess,Golgari Yawgmoth,5,2,0,7,71.4
Izzet Prowess,Jeskai Blink,9,18,0,27,33.3
Izzet Prowess,Abzan Birthing Ritual,5,1,0,6,83.3
Izzet Prowess,Mono-Blue Belcher,15,4,0,19,78.9
Izzet Prowess,Eldrazi Tron,23,35,0,58,39.7
Izzet Prowess,Gruul Broodscale,5,5,0,10,50.0
Izzet Prowess,Simic Birthing Ritual,3,2,0,5,60.0
Izzet Prowess,Mono-Green Broodscale,10,4,1,15,71.4
Izzet Prowess,Azorius Control (Kaheera),9,3,0,12,75.0
Izzet Prowess,Boros Energy,26,34,1,61,43.3
Esper Goryo's,Boros Energy,31,33,2,66,48.4
Esper Goryo's,Simic Neoform,3,2,0,5,60.0
Esper Goryo's,Mono-Green Broodscale,11,12,2,25,47.8
Esper Goryo's,Amulet Titan,44,46,4,94,48.9
Esper Goryo's,Mono-Blue Belcher,19,23,1,43,45.2
Esper Goryo's,Jeskai Blink,14,20,2,36,41.2
Esper Goryo's,Domain Zoo,20,21,0,41,48.8
Izzet Affinity,Mono-Blue Belcher,22,6,1,29,78.6
Izzet Affinity,Boros Energy,32,26,1,59,55.2
Izzet Affinity,Grixis Oculus,2,1,0,3,66.7
Izzet Affinity,Esper Goryo's,40,16,1,57,71.4
Izzet Affinity,Amulet Titan,31,52,0,83,37.3
Izzet Affinity,Izzet Prowess,23,26,1,50,46.9
Izzet Affinity,Dimir Midrange,4,1,0,5,80.0
Izzet Affinity,Esper Blink,23,19,1,43,54.8
Izzet Affinity,Izzet Control,1,2,0,3,33.3
Izzet Affinity,Izzet Affinity,21,21,2,44,50.0
Izzet Affinity,Azorius Control (Kaheera),4,6,1,11,40.0
Izzet Affinity,Jeskai Blink,12,10,1,23,54.5
Amulet Titan,Boros Energy,53,37,0,90,58.9
Amulet Titan,Esper Blink,35,34,3,72,50.7
Amulet Titan,Esper Goryo's,46,44,4,94,51.1
Amulet Titan,Gruul Broodscale,6,9,0,15,40.0
Amulet Titan,Simic Birthing Ritual,3,9,1,13,25.0
Amulet Titan,Dimir Midrange,6,3,1,10,66.7
Amulet Titan,Eldrazi Tron,58,31,0,89,65.2
Amulet Titan,Izzet Prowess,47,36,1,84,56.6
Amulet Titan,Mono-Green Broodscale,15,14,1,30,51.7
Amulet Titan,Azorius Control (Kaheera),12,11,3,26,52.2
Amulet Titan,Amulet Titan,78,78,8,164,50.0
Amulet Titan,Izzet Affinity,52,31,0,83,62.7
Amulet Titan,Jeskai Blink,29,19,1,49,60.4
Boros Energy,Domain Zoo,25,27,0,52,48.1
Boros Energy,Eldrazi Ramp,11,6,1,18,64.7
Boros Energy,Izzet Affinity,26,32,1,59,44.8
Boros Energy,Amulet Titan,37,53,0,90,41.1
Boros Energy,Jeskai Blink,13,16,1,30,44.8
Boros Energy,Izzet Prowess,34,26,1,61,56.7
Boros Energy,Azorius Blink,12,10,3,25,54.5
Boros Energy,Eldrazi Tron,25,15,1,41,62.5
Boros Energy,Esper Goryo's,33,31,2,66,51.6
Izzet Prowess,Bant Birthing Ritual,1,0,0,1,100.0
Izzet Prowess,Izzet Affinity,26,23,1,50,53.1
Izzet Prowess,Esper Goryo's,27,36,1,64,42.9
Izzet Prowess,Simic Neoform,2,1,0,3,66.7
Izzet Prowess,Dimir Mill,2,1,0,3,66.7
Izzet Prowess,Esper Blink,20,25,1,46,44.4
Jeskai Blink,Mardu Blink,1,0,0,1,100.0
Jeskai Blink,Esper Blink,12,7,0,19,63.2
Jeskai Blink,Eldrazi Ramp,5,4,1,10,55.6
Jeskai Blink,Mono-Green Broodscale,6,3,0,9,66.7
Azorius Control (Kaheera),Eldrazi Tron,7,6,2,15,53.8
Azorius Control (Kaheera),Esper Goryo's,12,8,2,22,60.0
Azorius Control (Kaheera),Esper Blink,6,4,0,10,60.0
Azorius Control (Kaheera),Eldrazi Ramp,4,4,2,10,50.0
Azorius Control (Kaheera),Jeskai Blink,2,5,1,8,28.6
Azorius Control (Kaheera),Living End,1,0,0,1,100.0
Azorius Control (Kaheera),Domain Zoo,11,9,0,20,55.0
Azorius Control (Kaheera),Ruby Storm,3,1,0,4,75.0
Azorius Control (Kaheera),Boros Energy,5,6,2,13,45.5
Azorius Control (Kaheera),Amulet Titan,11,12,3,26,47.8
Azorius Control (Kaheera),Izzet Prowess,3,9,0,12,25.0
Boros Energy,Gruul Broodscale,4,7,0,11,36.4
Boros Energy,Four-Color Control,2,0,0,2,100.0
Boros Energy,Simic Birthing Ritual,3,2,0,5,60.0
Boros Energy,Azorius Control (Kaheera),6,5,2,13,54.5
Boros Energy,Jeskai Control,1,0,0,1,100.0
Mono-Green Broodscale,Esper Blink,14,5,2,21,73.7
Mono-Green Broodscale,Orzhov Blink,1,1,0,2,50.0
Mono-Green Broodscale,Boros Energy,5,6,0,11,45.5
Mono-Green Broodscale,Azorius Control (Kaheera),5,3,0,8,62.5
Mono-Green Broodscale,Amulet Titan,14,15,1,30,48.3
Mono-Green Broodscale,Jeskai Affinity,1,0,0,1,100.0
Mono-Green Broodscale,Eldrazi Tron,11,4,0,15,73.3
Mono-Green Broodscale,Domain Zoo,8,8,0,16,50.0
Mono-Green Broodscale,Simic Birthing Ritual,1,0,0,1,100.0
Mono-Green Broodscale,Gruul Broodscale,2,1,1,4,66.7
Mono-Green Broodscale,Izzet Prowess,4,10,1,15,28.6
Izzet Prowess,Azorius Blink,6,6,0,12,50.0
Izzet Prowess,Merfolk,2,1,0,3,66.7
Izzet Prowess,Ruby Storm,6,2,0,8,75.0
Boros Energy,Esper Blink,26,25,3,54,51.0
Boros Energy, Amulet Titan,1,0,0,1,100.0
Izzet Prowess,Izzet Eldrazi,2,0,0,2,100.0
Izzet Prowess,Izzet Control,1,0,0,1,100.0
Izzet Prowess,Domain Zoo,26,38,0,64,40.6
Amulet Titan,Simic Neoform,0,6,0,6,0.0
Amulet Titan,Domain Zoo,42,34,3,79,55.3
Izzet Affinity,Azorius Blink,8,5,0,13,61.5
Izzet Affinity,Esper Control,2,2,0,4,50.0
Izzet Affinity,Simic Birthing Ritual,3,2,0,5,60.0
Izzet Affinity,Ruby Storm,6,7,0,13,46.2
Izzet Affinity,Domain Zoo,21,20,0,41,51.2
Izzet Affinity,Jeskai Control (Kaheera),1,0,0,1,100.0
Izzet Affinity,Dimir Mill,5,1,0,6,83.3
Mono-Green Broodscale,Jeskai Control,3,1,0,4,75.0
Mono-Green Broodscale,Izzet Control,1,0,0,1,100.0
Mono-Green Broodscale,Jeskai Blink,3,6,0,9,33.3
Azorius Control (Kaheera),Azorius Affinity,1,0,0,1,100.0
Azorius Control (Kaheera),Mono-Red Belcher,1,0,0,1,100.0
Azorius Control (Kaheera),Izzet Affinity,6,4,1,11,60.0
Azorius Control (Kaheera),Azorius Blink,5,1,0,6,83.3
Eldrazi Ramp,Esper Goryo's,14,11,0,25,56.0
Eldrazi Ramp,Jeskai Blink,4,5,1,10,44.4
Eldrazi Ramp,Izzet Affinity,9,7,0,16,56.2
Eldrazi Ramp,Hollow One,2,0,0,2,100.0
Eldrazi Ramp,Amulet Titan,8,22,3,33,26.7
Eldrazi Ramp,Dimir Mill,1,3,0,4,25.0
Eldrazi Ramp,Esper Blink,8,8,1,17,50.0
Eldrazi Ramp,Boros Energy,6,11,1,18,35.3
Eldrazi Ramp,Domain Zoo,8,6,0,14,57.1
Eldrazi Ramp,Simic Neoform,1,0,0,1,100.0
Esper Blink,Living End,3,1,1,5,75.0
Esper Blink,Amulet Titan,34,35,3,72,49.3
Esper Blink,Jeskai Blink,7,12,0,19,36.8
Esper Blink,Domain Zoo,20,15,0,35,57.1
Esper Blink,Izzet Eldrazi,0,1,0,1,0.0
Esper Blink,Izzet Prowess,25,20,1,46,55.6
Esper Blink,Izzet Affinity,19,23,1,43,45.2
Esper Blink,Dimir Midrange,3,3,0,6,50.0
Esper Blink,Esper Goryo's,36,28,3,67,56.2
Esper Blink,Mono-Green Broodscale,5,14,2,21,26.3
Eldrazi Ramp,Mono-Blue Belcher,6,4,0,10,60.0
Eldrazi Ramp,Ruby Storm,2,3,0,5,40.0
Eldrazi Ramp,Azorius Control (Kaheera),4,4,2,10,50.0
Eldrazi Ramp,Eldrazi Ramp,6,6,0,12,50.0
Boros Energy,Five-Color Creativity,1,0,0,1,100.0
Boros Energy,Boros Energy,27,27,0,54,50.0
Boros Energy,Ruby Storm,9,3,0,12,75.0
