archetype_a,archetype_b,win,loss,draw,games,winrate
Golgari Yawgmoth,W-U-B-G Goryo's,1,1,1,3,50.0
Golgari Yawgmoth,Boros Energy,2,3,0,5,40.0
Golgari Yawgmoth,Simic Ritual,1,1,0,2,50.0
Golgari Yawgmoth,Mono-Blue Belcher,1,4,0,5,20.0
Golgari Yawgmoth,Gruul Eldrazi Ramp,1,1,0,2,50.0
Golgari Yawgmoth,Izzet Affinity,4,0,1,5,100.0
Golgari Yawgmoth,Esper Blink,0,0,1,1,
Izzet Affinity,Abzan Samwise Gamgee Combo,1,1,0,2,50.0
Izzet Affinity,Boros Energy,4,5,0,9,44.4
Izzet Affinity,W-U-B-G Goryo's,7,1,0,8,87.5
Izzet Affinity,Izzet Affinity,3,3,0,6,50.0
Izzet Affinity,W-U-R-G Domain Zoo,4,2,0,6,66.7
Izzet Affinity,Sultai Living End,1,0,0,1,100.0
Izzet Affinity,Golgari Yawgmoth,0,4,1,5,0.0
Izzet Affinity,Temur Combo,0,0,1,1,
Mono-Blue Belcher,Boros Energy,6,3,0,9,66.7
Mono-Blue Belcher,Golgari Yawgmoth,4,1,0,5,80.0
Mono-Blue Belcher,Esper Blink,1,0,0,1,100.0
Mono-Blue Belcher,Jeskai Midrange,1,0,0,1,100.0
Mono-Blue Belcher,Mono-Green Amulet Titan,2,0,0,2,100.0
Mono-Blue Belcher,Mono-Red Ruby Storm,2,0,1,3,100.0
Esper Blink,Boros Energy,5,5,0,10,50.0
Esper Blink,Dimir Control,1,0,0,1,100.0
Esper Blink,Mono-Blue Belcher,0,1,0,1,0.0
Esper Blink,Simic Ritual,2,1,0,3,66.7
Esper Blink,Golgari Yawgmoth,0,0,1,1,
Temur Combo,Golgari Yawgmoth,1,0,0,1,100.0
Temur Combo,Boros Energy,3,0,0,3,100.0
Temur Combo,Abzan Samwise Gamgee Combo,1,0,0,1,100.0
Temur Combo,Mono-Blue Belcher,1,1,0,2,50.0
Temur Combo,Temur Combo,1,1,0,2,50.0
Temur Combo,Boros Aggro,2,0,0,2,100.0
Temur Combo,Sultai Living End,1,0,0,1,100.0
Temur Combo,Izzet Affinity,0,0,1,1,
Gruul Eldrazi Ramp,Jeskai Blink,1,0,1,2,100.0
Gruul Eldrazi Ramp,Golgari Yawgmoth,1,1,0,2,50.0
Gruul Eldrazi Ramp,Azorius Control (Kaheera),1,1,0,2,50.0
Gruul Eldrazi Ramp,Boros Energy,5,2,0,7,71.4
Gruul Eldrazi Ramp,Gruul Eldrazi Ramp,1,1,0,2,50.0
Gruul Eldrazi Ramp,W-U-R-G Domain Zoo,2,0,1,3,100.0
Gruul Eldrazi Ramp,Esper Blink,1,1,0,2,50.0
Gruul Eldrazi Ramp,Izzet Affinity,3,3,0,6,50.0
Gruul Eldrazi Ramp,Mono-Blue Belcher,2,0,0,2,100.0
Mono-Red Ruby Storm,Mono-Green Amulet Titan,3,0,0,3,100.0
Mono-Red Ruby Storm,Mono-Blue Belcher,0,2,1,3,0.0
Mono-Red Ruby Storm,W-U-B-R-G Combo,1,0,0,1,100.0
Mono-Red Ruby Storm,Izzet Affinity,2,1,0,3,66.7
Mono-Red Ruby Storm,Gruul Eldrazi Ramp,1,0,0,1,100.0
Mono-Red Ruby Storm,Mono-Red Ruby Storm,1,1,0,2,50.0
Azorius Control (Kaheera),Golgari Yawgmoth,0,0,1,1,
Azorius Control (Kaheera),Jeskai Blink,1,0,0,1,100.0
Azorius Control (Kaheera),Gruul Eldrazi Ramp,1,1,0,2,50.0
Azorius Control (Kaheera),Boros Energy,1,1,0,2,50.0
Azorius Control (Kaheera),W-U-B-G Goryo's,1,0,0,1,100.0
Azorius Control (Kaheera),Izzet Metalcraft,1,0,0,1,100.0
Azorius Control (Kaheera),Boros Aggro,1,0,0,1,100.0
Azorius Control (Kaheera),Esper Blink,1,1,0,2,50.0
Izzet Affinity,Gruul Eldrazi Ramp,3,3,0,6,50.0
Izzet Affinity,Mono-Red Ruby Storm,1,2,0,3,33.3
Izzet Affinity,Boros,1,0,0,1,100.0
Mono-Red Ruby Storm,Mono-Red Storm,1,1,0,2,50.0
Mono-Red Ruby Storm,W-U-R-G Domain Zoo,0,1,0,1,0.0
Mono-Red Ruby Storm,Jeskai Wizards,1,0,0,1,100.0
Mono-Red Ruby Storm,Jeskai Blink,2,0,0,2,100.0
Mono-Red Ruby Storm,W-U-B-G Living End,1,2,0,3,33.3
Mono-Red Ruby Storm,Esper,1,0,0,1,100.0
Mono-Red Ruby Storm,Sultai Living End,1,0,0,1,100.0
Jeskai Midrange,Boros Aggro,1,0,0,1,100.0
Jeskai Midrange,Izzet Metalcraft,1,0,0,1,100.0
Jeskai Midrange,Izzet Affinity,1,1,0,2,50.0
Jeskai Midrange,Boros Energy,1,2,0,3,33.3
Jeskai Midrange,Mono-Blue Belcher,0,1,0,1,0.0
Jeskai Midrange,Gruul Eldrazi Aggro,1,0,0,1,100.0
Jeskai Midrange,Mono-Red Ruby Storm,1,0,0,1,100.0
Jeskai Midrange,W-U-R-G Domain Zoo,1,0,0,1,100.0
