archetype_a,archetype_b,win,loss,draw,games,winrate
Jeskai Midrange,W-U-B-G Goryo's Vengeance,1,0,0,1,100.0
Jeskai Midrange,Jeskai Blink,2,1,0,3,66.7
Jeskai Midrange,Mono-Green Amulet Titan,1,1,0,2,50.0
Jeskai Midrange,Izzet Affinity,4,0,0,4,100.0
Jeskai Midrange,Boros Energy,2,0,1,3,100.0
Jeskai Midrange,Simic Birthing Ritual,1,0,0,1,100.0
Boros Energy,Jeskai Blink,12,13,2,27,48.0
Boros Energy,Mono-Green Amulet Titan,6,1,1,8,85.7
Boros Energy,Izzet Prowess,7,1,0,8,87.5
Boros Energy,W-U-R-G Domain Zoo,1,0,0,1,100.0
Boros Energy,Azorius Control,1,0,0,1,100.0
Boros Energy,W-U-B-G Goryo's Vengeance,4,3,0,7,57.1
Boros Energy,Boros Energy,3,3,0,6,50.0
Boros Energy,Gruul Broodscale,2,2,0,4,50.0
Boros Energy,Izzet Affinity,4,4,0,8,50.0
Boros Energy,Colorless Tron,2,1,0,3,66.7
Boros Energy,Jeskai Midrange,0,2,1,3,0.0
Simic Birthing Ritual,W-U-R-G Domain Zoo,2,0,0,2,100.0
Simic Birthing Ritual,Jeskai Blink,5,2,0,7,71.4
Simic Birthing Ritual,Izzet Affinity,2,4,0,6,33.3
Simic Birthing Ritual,Boros Energy,0,1,1,2,0.0
Simic Birthing Ritual,Mono-Green Amulet Titan,3,0,1,4,100.0
Simic Birthing Ritual,Orzhov Blink,1,0,0,1,100.0
Simic Birthing Ritual,Jeskai Midrange,0,1,0,1,0.0
Orzhov Blink,Izzet Prowess,2,0,0,2,100.0
Orzhov Blink,Jeskai Blink,1,0,0,1,100.0
Orzhov Blink,Esper Blink,2,0,0,2,100.0
Orzhov Blink,Izzet Affinity,0,1,0,1,0.0
Orzhov Blink,Boros Energy,1,0,0,1,100.0
Orzhov Blink,Izzet,1,0,0,1,100.0
Orzhov Blink,Gruul Broodscale,0,0,1,1,
Orzhov Blink,Simic Birthing Ritual,0,1,0,1,0.0
Jeskai Blink,Azorius Control (Kaheera),1,1,0,2,50.0
Jeskai Blink,Esper Blink,5,10,0,15,33.3
Jeskai Blink,Colorless Tron,4,4,2,10,50.0
Jeskai Blink,Mono-White,2,0,0,2,100.0
Jeskai Blink,Jeskai Blink,31,31,10,72,50.0
Jeskai Blink,Izzet Affinity,12,17,0,29,41.4
Jeskai Blink,Mono-Blue Belcher,2,3,0,5,40.0
Jeskai Blink,Boros Energy,13,12,2,27,52.0
Gruul Broodscale,W-U-B-G Goryo's Vengeance,2,0,0,2,100.0
Gruul Broodscale,Jeskai Blink,1,4,0,5,20.0
Gruul Broodscale,Izzet Affinity,4,1,0,5,80.0
Gruul Broodscale,Mono-Red Storm,1,0,0,1,100.0
Gruul Broodscale,Colorless Tron,3,0,0,3,100.0
Gruul Broodscale,Orzhov Blink,0,0,1,1,
Gruul Broodscale,Boros Energy,2,2,0,4,50.0
Izzet Affinity,Boros Energy,4,4,0,8,50.0
Izzet Affinity,Mono-Green Amulet Titan,8,7,0,15,53.3
Izzet Affinity,Izzet Affinity,9,9,0,18,50.0
Izzet Affinity,Mono-Red Storm,1,3,1,5,25.0
Izzet Affinity,Simic Birthing Ritual,4,2,0,6,66.7
Izzet Affinity,W-U-B-G Goryo's Vengeance,7,6,0,13,53.8
Izzet Affinity,Jeskai Blink,17,12,0,29,58.6
Izzet Affinity,Esper Blink,2,2,1,5,50.0
Izzet Affinity,Izzet Prowess,6,1,0,7,85.7
Izzet Affinity,Jeskai Midrange,0,4,0,4,0.0
W-U-R-G Domain Zoo,Simic Birthing Ritual,0,2,0,2,0.0
W-U-R-G Domain Zoo,W-U-R-G Domain Zoo,1,1,0,2,50.0
W-U-R-G Domain Zoo,Izzet Affinity,1,1,0,2,50.0
W-U-R-G Domain Zoo,Izzet Prowess,2,1,0,3,66.7
W-U-R-G Domain Zoo,Boros Energy,0,1,0,1,0.0
W-U-R-G Domain Zoo,Jeskai Blink,4,5,0,9,44.4
W-U-R-G Domain Zoo,Abzan Combo,1,0,0,1,100.0
W-U-R-G Domain Zoo,Colorless Tron,1,0,0,1,100.0
Izzet Affinity,Boros,2,1,0,3,66.7
Jeskai Blink,Esper Midrange,1,1,0,2,50.0
Jeskai Blink,Golgari Broodscale,2,1,0,3,66.7
Jeskai Blink,W-U-B-G Control,2,2,0,4,50.0
Jeskai Blink,Mono-Green Amulet Titan,21,16,1,38,56.8
Jeskai Blink,W-U-B-G Goryo's Vengeance,11,8,3,22,57.9
Jeskai Blink,Izzet,7,1,0,8,87.5
Esper Blink,W-U-R-G Domain Zoo,2,0,0,2,100.0
Esper Blink,Esper Blink,1,1,0,2,50.0
Esper Blink,Jeskai Blink,10,5,0,15,66.7
