archetype_a,archetype_b,win,loss,draw,games,winrate
W-U-B-G Goryo's,Esper,1,1,0,2,50.0
W-U-B-G Goryo's,Boros,1,1,1,3,50.0
W-U-B-G Goryo's,W-U-B-G Goryo's,2,2,2,6,50.0
W-U-B-G Goryo's,Abzan Devoted Druid Combo,1,1,0,2,50.0
W-U-B-G Goryo's,Boros Land Destruction (Kaheera),1,1,0,2,50.0
W-U-B-G Goryo's,Golgari Yawgmoth,2,0,0,2,100.0
Mono-Green Eldrazi Tron,Izzet Affinity,1,0,0,1,100.0
Mono-Green Eldrazi Tron,Golgari Yawgmoth,1,1,0,2,50.0
Mono-Green Eldrazi Tron,Abzan Devoted Druid Combo,1,0,0,1,100.0
Mono-Green Eldrazi Tron,Izzet Prowess,1,0,0,1,100.0
Mono-Green Eldrazi Tron,Boros Land Destruction (Kaheera),0,1,0,1,0.0
W-U-B-G Goryo's,Izzet Prowess,3,0,0,3,100.0
W-U-B-G Goryo's,Gruul Domain Zoo,2,0,0,2,100.0
Boros,Izzet Prowess,2,0,0,2,100.0
Boros,Abzan Devoted Druid Combo,1,1,0,2,50.0
Boros,Jund Cosmogoyf,2,0,0,2,100.0
Boros,Mono-Red Ruby Storm,1,0,0,1,100.0
Boros,W-U-B-G Goryo's,1,1,1,3,50.0
Boros,Gruul Domain Zoo,0,1,1,2,0.0
Boros,Boros Land Destruction (Kaheera),0,1,0,1,0.0
Jund Cosmogoyf,Boros Energy,1,0,0,1,100.0
Jund Cosmogoyf,Boros,0,2,0,2,0.0
Jund Cosmogoyf,Gruul Broodscale,1,0,0,1,100.0
Jund Cosmogoyf,Colorless Tron,1,0,0,1,100.0
Jund Cosmogoyf,Golgari Yawgmoth,0,0,1,1,
Gruul Domain Zoo,Izzet Prowess,1,0,0,1,100.0
Gruul Domain Zoo,Dimir Control,1,0,0,1,100.0
Gruul Domain Zoo,W-U-B-G Goryo's,0,2,0,2,0.0
Gruul Domain Zoo,Boros,1,0,1,2,100.0
Gruul Domain Zoo,W-U-B-R-G Control,1,0,0,1,100.0
Boros Land Destruction (Kaheera),Dimir Midrange,1,0,0,1,100.0
Boros Land Destruction (Kaheera),Mono-Green Amulet Titan,0,0,1,1,
Boros Land Destruction (Kaheera),Esper Blink,1,0,0,1,100.0
Boros Land Destruction (Kaheera),W-U-B-G Goryo's,1,1,0,2,50.0
Boros Land Destruction (Kaheera),Golgari Yawgmoth,1,0,0,1,100.0
Boros Land Destruction (Kaheera),Mono-Green Eldrazi Tron,1,0,0,1,100.0
Boros Land Destruction (Kaheera),Boros,1,0,0,1,100.0
Golgari Yawgmoth,W-U-B-G Samwise Gamgee Combo,1,0,0,1,100.0
Golgari Yawgmoth,Mono-Green Eldrazi Ramp,1,0,0,1,100.0
Golgari Yawgmoth,Mono-Green Eldrazi Tron,1,1,0,2,50.0
Golgari Yawgmoth,W-U-B-G Goryo's,0,2,0,2,0.0
Golgari Yawgmoth,Izzet Metalcraft,1,0,0,1,100.0
Golgari Yawgmoth,Jund Cosmogoyf,0,0,1,1,
Abzan Devoted Druid Combo,Izzet Metalcraft,1,0,0,1,100.0
Abzan Devoted Druid Combo,Colorless Tron,1,0,0,1,100.0
Abzan Devoted Druid Combo,W-U-B-G Goryo's,1,1,0,2,50.0
Abzan Devoted Druid Combo,Mono-Green Eldrazi Tron,0,1,0,1,0.0
Abzan Devoted Druid Combo,Esper Blink,1,0,0,1,100.0
Golgari Yawgmoth,Abzan Devoted Druid Combo,2,0,0,2,100.0
Golgari Yawgmoth,Izzet Prowess,1,0,0,1,100.0
Golgari Yawgmoth,Boros Land Destruction (Kaheera),0,1,0,1,0.0
Izzet Prowess,Gruul Domain Zoo,0,1,0,1,0.0
Izzet Prowess,W-U-B-R-G Aggro,1,0,0,1,100.0
Izzet Prowess,Abzan Combo,1,0,0,1,100.0
Izzet Prowess,Mono-Green Eldrazi Broodscale,1,0,0,1,100.0
Izzet Prowess,Mono-Red Ruby Storm,1,0,0,1,100.0
Izzet Prowess,Mono-Green Eldrazi Tron,0,1,0,1,0.0
Abzan Devoted Druid Combo,Boros,1,1,0,2,50.0
Abzan Devoted Druid Combo,Mono-Green Amulet Titan,1,0,0,1,100.0
Abzan Devoted Druid Combo,Abzan Devoted Druid Combo,1,1,0,2,50.0
Abzan Devoted Druid Combo,Golgari Yawgmoth,0,2,0,2,0.0
Abzan Devoted Druid Combo,Mono-Red Ruby Storm,1,1,0,2,50.0
Colorless Tron,Gruul Aggro,1,0,0,1,100.0
Colorless Tron,Abzan Devoted Druid Combo,0,1,0,1,0.0
Colorless Tron,Boros,1,0,0,1,100.0
