archetype_a,archetype_b,win,loss,draw,games,winrate
Izzet Prowess,Jeskai Blink (Obosh),1,1,0,2,50.0
Izzet Prowess,Mono-Green Amulet Titan,6,5,0,11,54.5
Izzet Prowess,Izzet Affinity,6,3,0,9,66.7
Izzet Prowess,Dimir Midrange,1,1,0,2,50.0
Izzet Prowess,Mono-Blue Belcher,5,2,0,7,71.4
Izzet Prowess,Esper Goryo's Vengeance,5,9,0,14,35.7
Boros Energy,Jeskai Control,0,1,0,1,0.0
Boros Energy,Izzet Prowess,5,1,0,6,83.3
Boros Energy,W-U-R-G Domain Zoo,3,4,0,7,42.9
Boros Energy,Esper Goryo's Vengeance,5,2,0,7,71.4
Boros Energy,Jeskai Blink,3,4,0,7,42.9
Boros Energy,Boros Energy,4,4,0,8,50.0
Boros Energy,Dimir Oculus,1,0,0,1,100.0
Boros Energy,Ruby Storm,0,2,0,2,0.0
Ruby Storm,W-U-R-G Domain Zoo,2,0,0,2,100.0
Ruby Storm,Izzet Prowess,1,1,0,2,50.0
Ruby Storm,Jeskai Blink,1,0,0,1,100.0
Ruby Storm,Boros Energy,2,0,0,2,100.0
Ruby Storm,Izzet Affinity,2,0,0,2,100.0
Ruby Storm,Golgari Broodscale,0,0,1,1,
Ruby Storm,Esper Goryo's Vengeance,1,1,1,3,50.0
Golgari Broodscale,Mono-Green Amulet Titan,3,0,0,3,100.0
Golgari Broodscale,Izzet Prowess,1,0,0,1,100.0
Golgari Broodscale,Jeskai Blink,1,0,0,1,100.0
Golgari Broodscale,Izzet Affinity,1,0,1,2,100.0
Golgari Broodscale,Ruby Storm,0,0,1,1,
Golgari Broodscale,Esper Goryo's Vengeance,0,1,0,1,0.0
Esper Goryo's Vengeance,Mono-Blue Belcher,6,3,0,9,66.7
Esper Goryo's Vengeance,Esper Goryo's Vengeance,14,14,0,28,50.0
Esper Goryo's Vengeance,Izzet Prowess,9,6,0,15,60.0
Esper Goryo's Vengeance,Jeskai Blink,8,3,2,13,72.7
Esper Goryo's Vengeance,Dimir Oculus,0,2,1,3,0.0
Esper Goryo's Vengeance,Orzhov Blink,2,0,0,2,100.0
Esper Goryo's Vengeance,Ruby Storm,1,1,1,3,50.0
Esper Goryo's Vengeance,Golgari Broodscale,1,0,0,1,100.0
Izzet Affinity,Izzet Affinity,5,5,0,10,50.0
Izzet Affinity,Colorless Eldrazi Tron,5,1,0,6,83.3
Izzet Affinity,Boros Energy,3,1,1,5,75.0
Izzet Affinity,Golgari Broodscale,0,1,1,2,0.0
Izzet Affinity,Izzet Prowess,3,6,0,9,33.3
Izzet Affinity,Esper Goryo's Vengeance,6,2,0,8,75.0
Izzet Affinity,Ruby Storm,0,2,0,2,0.0
Boros Energy,Mono-Green Broodscale,1,0,0,1,100.0
Boros Energy,Simic Neoform,1,0,0,1,100.0
Boros Energy,Gruul Broodscale,1,1,0,2,50.0
Boros Energy,Dimir Mill,2,0,0,2,100.0
Boros Energy,Izzet Affinity,1,3,1,5,25.0
Izzet Affinity,Jeskai Blink,4,1,1,6,80.0
Izzet Affinity,Mono-Green Amulet Titan,4,4,0,8,50.0
Izzet Affinity,Azorius Blink,1,1,0,2,50.0
Izzet Affinity,W-U-R-G Domain Zoo,1,1,0,2,50.0
Jeskai Blink,Grixis Control,1,0,1,2,100.0
Jeskai Blink,Dimir Midrange,3,1,0,4,75.0
Jeskai Blink,W-U-R-G Domain Zoo,2,4,1,7,33.3
Jeskai Blink,Ruby Storm,0,1,0,1,0.0
Jeskai Blink,Mono-Green Broodscale,4,1,0,5,80.0
Jeskai Blink,Colorless Eldrazi Tron,3,3,0,6,50.0
Jeskai Blink,Jeskai Blink,4,4,0,8,50.0
Jeskai Blink,Izzet Affinity,1,4,1,6,20.0
Izzet Affinity,Mono-Blue Belcher,3,1,0,4,75.0
Izzet Affinity,Colorless Eldrazi,2,1,0,3,66.7
Izzet Affinity,Esper Blink,2,3,0,5,40.0
W-U-R-G Domain Zoo,Mono-Green Amulet Titan,2,8,1,11,20.0
W-U-R-G Domain Zoo,Jeskai Blink,4,2,1,7,66.7
W-U-R-G Domain Zoo,Azorius Control (Kaheera),3,0,0,3,100.0
W-U-R-G Domain Zoo,Esper Goryo's Vengeance,5,8,0,13,38.5
Jeskai Blink,W-U-B-R-G Domain Zoo,3,0,0,3,100.0
Jeskai Blink,Simic Birthing Ritual,1,0,0,1,100.0
Jeskai Blink,Golgari Broodscale,0,1,0,1,0.0
Jeskai Blink,Boros Energy,4,3,0,7,57.1
Jeskai Blink,Simic Neoform,1,0,0,1,100.0
Esper Goryo's Vengeance,W-U-R-G Domain Zoo,8,5,0,13,61.5
Esper Goryo's Vengeance,Mono-Green Amulet Titan,8,4,2,14,66.7
Esper Goryo's Vengeance,Boros Energy,2,5,0,7,28.6
Boros Energy,Mono-Green Amulet Titan,3,2,0,5,60.0
Boros Energy,Mono-Blue Belcher,1,1,0,2,50.0
Boros Energy,Azorius Blink,1,0,0,1,100.0
Mono-Blue Belcher,Esper Goryo's Vengeance,3,6,0,9,33.3
Mono-Blue Belcher,Abzan Birthing Ritual,1,0,0,1,100.0
Mono-Blue Belcher,Mono-Green Amulet Titan,9,2,0,11,81.8
Mono-Blue Belcher,W-U-R-G Domain Zoo,2,4,0,6,33.3
Mono-Blue Belcher,Simic Birthing Ritual,1,1,0,2,50.0
Mono-Blue Belcher,Dimir Oculus,1,0,0,1,100.0
Mono-Blue Belcher,Izzet Prowess,2,5,0,7,28.6
Jeskai Blink,Izzet Prowess,7,3,0,10,70.0
Jeskai Blink,Jeskai Control,3,0,0,3,100.0
Jeskai Blink,Colorless Eldrazi,2,1,0,3,66.7
Colorless Eldrazi Tron,Living End,1,0,0,1,100.0
Colorless Eldrazi Tron,Gruul Broodscale,2,0,0,2,100.0
Colorless Eldrazi Tron,Izzet Affinity,1,5,0,6,16.7
Colorless Eldrazi Tron,Colorless Eldrazi Tron,2,2,0,4,50.0
Colorless Eldrazi Tron,Dimir Midrange,2,0,0,2,100.0
Colorless Eldrazi Tron,Jeskai Blink,3,3,0,6,50.0
Esper Goryo's Vengeance,Colorless Eldrazi Tron,3,3,0,6,50.0
Esper Goryo's Vengeance,Simic Birthing Ritual,1,1,0,2,50.0
Esper Goryo's Vengeance,Izzet Affinity,2,6,0,8,25.0
Esper Goryo's Vengeance,Gruul Eldrazi Aggro,1,1,0,2,50.0
Simic Birthing Ritual,Mono-Green Amulet Titan,2,0,0,2,100.0
Simic Birthing Ritual,Colorless Eldrazi Tron,2,0,0,2,100.0
Simic Birthing Ritual,Jeskai Blink,0,1,0,1,0.0
Simic Birthing Ritual,Esper Goryo's Vengeance,1,1,0,2,50.0
