archetype_a,archetype_b,win,loss,draw,games,winrate
Mono-Green Amulet Titan,Colorless,2,1,0,3,66.7
Mono-Green Amulet Titan,Esper Blink,4,1,0,5,80.0
Mono-Green Amulet Titan,Dimir Frog,1,2,0,3,33.3
Mono-Green Amulet Titan,Jeskai Blink,16,10,0,26,61.5
Mono-Green Amulet Titan,Izzet Affinity,15,7,0,22,68.2
Mono-Green Amulet Titan,Grixis Frog,1,1,0,2,50.0
Mono-Green Amulet Titan,Izzet Control,1,3,0,4,25.0
Mono-Green Amulet Titan,Gruul Broodscale,0,4,1,5,0.0
Mono-Green Amulet Titan,Orzhov Blink,0,4,1,5,0.0
Orzhov Blink,Mono-Green Amulet Titan,4,0,1,5,100.0
Orzhov Blink,Mono-Blue Belcher,1,0,0,1,100.0
Orzhov Blink,Jeskai,1,0,0,1,100.0
Orzhov Blink,Dimir,1,0,0,1,100.0
Orzhov Blink,Jeskai Blink,1,1,0,2,50.0
Orzhov Blink,Grixis Frog,0,1,0,1,0.0
Orzhov Blink,Izzet Control,0,1,0,1,0.0
Orzhov Blink,Izzet Affinity,1,0,0,1,100.0
Orzhov Blink,Gruul Eldrazi Ramp,1,0,0,1,100.0
Izzet Affinity,W-U-B-G,1,2,0,3,33.3
Izzet Affinity,Izzet Affinity,2,2,0,4,50.0
Izzet Affinity,Jeskai,2,0,0,2,100.0
Izzet Affinity,Azorius Control (Kaheera),4,2,0,6,66.7
Izzet Affinity,Jeskai Blink,11,5,0,16,68.8
Izzet Affinity,W-U-B-G Control,1,0,0,1,100.0
Izzet Affinity,Mono-Blue Merfolk,2,0,0,2,100.0
Izzet Affinity,Mono-Blue Belcher,4,0,0,4,100.0
Izzet Affinity,Simic Birthing Ritual,2,0,0,2,100.0
Izzet Affinity,Izzet Control,1,1,0,2,50.0
Izzet Affinity,Gruul Broodscale,0,0,1,1,
Mono-Green Amulet Titan,Boros Energy,3,1,0,4,75.0
Mono-Green Amulet Titan,W-U-R-G Domain Zoo,2,2,0,4,50.0
Mono-Green Amulet Titan,Mono-Green Amulet Titan,12,12,0,24,50.0
Mono-Green Amulet Titan,Rakdos Creativity,1,2,0,3,33.3
Gruul Broodscale,Boros Hammer Time,1,0,0,1,100.0
Gruul Broodscale,W-U-R-G Blink,0,1,0,1,0.0
Gruul Broodscale,Jeskai Blink,2,2,0,4,50.0
Gruul Broodscale,Dimir Control,1,0,0,1,100.0
Gruul Broodscale,W-U-B-G Goryo's Vengeance,2,0,1,3,100.0
Gruul Broodscale,Boros Energy,1,1,0,2,50.0
Gruul Broodscale,Dimir Frog,1,0,1,2,100.0
Gruul Broodscale,Mono-Green Amulet Titan,4,0,1,5,100.0
Gruul Broodscale,Grixis Frog,1,0,0,1,100.0
Gruul Broodscale,Izzet Affinity,0,0,1,1,
Gruul Broodscale,Izzet Control,1,0,0,1,100.0
Mono-Blue Belcher,Jeskai Blink,2,4,0,6,33.3
Mono-Blue Belcher,W-U-B-G Goryo's Vengeance,1,0,0,1,100.0
Mono-Blue Belcher,Mono-Green Amulet Titan,3,4,0,7,42.9
Mono-Blue Belcher,Izzet Prowess,0,1,0,1,0.0
Mono-Blue Belcher,Azorius Control (Kaheera),1,1,0,2,50.0
Mono-Blue Belcher,Boros Energy,3,1,0,4,75.0
Mono-Blue Belcher,Colorless Tron,1,1,0,2,50.0
Mono-Blue Belcher,Izzet Affinity,0,4,0,4,0.0
Mono-Blue Belcher,Simic Birthing Ritual,1,0,0,1,100.0
Mono-Blue Belcher,Dimir Mill,1,1,0,2,50.0
Jeskai Blink,Jeskai Blink,16,16,0,32,50.0
Jeskai Blink,Grixis Frog,0,1,1,2,0.0
Jeskai Blink,Azorius Control (Kaheera),1,2,0,3,33.3
Jeskai Blink,Izzet Affinity,5,10,0,15,33.3
Jeskai Blink,Gruul Broodscale,2,2,0,4,50.0
Jeskai Blink,Golgari Broodscale,1,1,0,2,50.0
Jeskai Blink,Azorius Combo (Kaheera),1,0,0,1,100.0
Jeskai Blink,Mono-Green Control,1,0,0,1,100.0
Jeskai Blink,Izzet Prowess,3,6,1,10,33.3
Jeskai Blink,Izzet Control,1,0,1,2,100.0
Jeskai Blink,Orzhov Blink,1,1,0,2,50.0
Izzet Control,Mono-Green Amulet Titan,3,1,0,4,75.0
Izzet Control,Esper Blink,2,0,0,2,100.0
Izzet Control,Golgari Yawgmoth,1,0,0,1,100.0
Izzet Control,Mono-Blue Merfolk,1,0,0,1,100.0
Izzet Control,Izzet Affinity,1,1,0,2,50.0
Izzet Control,Grixis Frog,0,1,0,1,0.0
Izzet Control,Orzhov Blink,1,0,0,1,100.0
Izzet Control,Golgari Broodscale,1,0,0,1,100.0
Izzet Control,Jeskai Blink,0,1,1,2,0.0
Izzet Control,Gruul Broodscale,0,1,0,1,0.0
Grixis Frog,Jeskai Blink,1,0,1,2,100.0
Grixis Frog,Rakdos Hollow One,1,0,0,1,100.0
Grixis Frog,Azorius Control (Kaheera),1,0,0,1,100.0
Grixis Frog,Simic Birthing Ritual,1,0,0,1,100.0
Grixis Frog,Mono-Green Amulet Titan,1,1,0,2,50.0
Grixis Frog,Orzhov Blink,1,0,0,1,100.0
Grixis Frog,Izzet Control,1,0,0,1,100.0
Grixis Frog,Izzet Affinity,1,0,0,1,100.0
Grixis Frog,Gruul Broodscale,0,1,0,1,0.0
Grixis Frog,Dimir Mill,0,1,0,1,0.0
Grixis Frog,Gruul Eldrazi Ramp,1,0,0,1,100.0
Azorius Combo (Kaheera),Abzan Birthing Ritual,1,0,0,1,100.0
Azorius Combo (Kaheera),W-U-B-G Goryo's Vengeance,0,1,0,1,0.0
Azorius Combo (Kaheera),Rakdos Hollow One,1,0,0,1,100.0
Azorius Combo (Kaheera),Rakdos Creativity,0,1,0,1,0.0
Azorius Combo (Kaheera),Izzet Prowess,2,0,0,2,100.0
Azorius Combo (Kaheera),Mono-Green Amulet Titan,1,0,0,1,100.0
Azorius Combo (Kaheera),Golgari Midrange,1,0,0,1,100.0
Azorius Combo (Kaheera),Mono-Red Storm,1,0,0,1,100.0
Azorius Combo (Kaheera),Izzet Affinity,0,0,1,1,
Azorius Combo (Kaheera),Jeskai Blink,0,1,0,1,0.0
Azorius Combo (Kaheera),Golgari Broodscale,1,0,0,1,100.0
Azorius Combo (Kaheera),Mono-Green Control,1,0,0,1,100.0
Izzet Affinity,Simic Aggro,1,1,0,2,50.0
Izzet Affinity,Colorless,2,0,0,2,100.0
Izzet Affinity,Colorless Tron,1,0,0,1,100.0
Izzet Affinity,Dimir Mill,1,2,0,3,33.3
Izzet Affinity,Grixis Frog,0,1,0,1,0.0
Izzet Affinity,Orzhov Blink,0,1,0,1,0.0
Izzet Affinity,Mono-Green Amulet Titan,7,15,0,22,31.8
Izzet Affinity,Dimir Frog,1,1,0,2,50.0
Dimir Mill,W-U-B-G Goryo's Vengeance,1,0,0,1,100.0
Dimir Mill,Boros Energy,0,2,0,2,0.0
Dimir Mill,Izzet Affinity,2,1,0,3,66.7
Dimir Mill,Mono-Green Amulet Titan,2,1,0,3,66.7
Dimir Mill,Simic Neoform,1,0,0,1,100.0
Dimir Mill,Jeskai Blink,1,1,0,2,50.0
Dimir Mill,Simic Birthing Ritual,0,1,0,1,0.0
Dimir Mill,Golgari Broodscale,1,1,0,2,50.0
Dimir Mill,Grixis Frog,1,0,0,1,100.0
Dimir Mill,Mono-Blue Belcher,1,1,0,2,50.0
Mono-Green Amulet Titan,Grixis Oculus,1,1,0,2,50.0
