archetype_a,archetype_b,win,loss,draw,games,winrate
W-U-R-G Domain Zoo,Jeskai Blink,7,14,1,22,33.3
W-U-R-G Domain Zoo,W-U-B-G Goryo's Vengeance,5,2,2,9,71.4
W-U-R-G Domain Zoo,Izzet Affinity,5,0,0,5,100.0
W-U-R-G Domain Zoo,Boros,1,0,0,1,100.0
W-U-R-G Domain Zoo,Izzet Prowess,8,6,0,14,57.1
W-U-R-G Domain Zoo,Gruul Broodscale,2,1,1,4,66.7
W-U-B-G Goryo's Vengeance,Izzet Affinity,2,3,1,6,40.0
W-U-B-G Goryo's Vengeance,W-U-B-G Combo,1,1,0,2,50.0
W-U-B-G Goryo's Vengeance,Mono-Green Eldrazi,1,0,0,1,100.0
W-U-B-G Goryo's Vengeance,Izzet Prowess,5,4,0,9,55.6
W-U-B-G Goryo's Vengeance,Jeskai Blink,4,3,2,9,57.1
W-U-B-G Goryo's Vengeance,Gruul Broodscale,1,0,0,1,100.0
W-U-B-G Goryo's Vengeance,W-U-R-G Domain Zoo,2,5,2,9,28.6
W-U-R-G Domain Zoo,Izzet Aggro,3,0,0,3,100.0
W-U-R-G Domain Zoo,Mono-Red Combo,1,0,0,1,100.0
W-U-R-G Domain Zoo,W-U-R-G Domain Zoo,2,2,0,4,50.0
W-U-R-G Domain Zoo,Boros Energy,1,1,0,2,50.0
W-U-R-G Domain Zoo,Simic Birthing Ritual,2,1,0,3,66.7
Gruul Broodscale,Golgari Yawgmoth,1,0,0,1,100.0
Gruul Broodscale,W-U-R-G Domain Zoo,1,2,1,4,33.3
Gruul Broodscale,Dimir Mill,2,0,0,2,100.0
Gruul Broodscale,Izzet Prowess,3,0,0,3,100.0
Gruul Broodscale,Jeskai Blink,4,2,0,6,66.7
Gruul Broodscale,W-U-B-G Goryo's Vengeance,0,1,0,1,0.0
Gruul Broodscale,Boros Energy,1,1,0,2,50.0
Jeskai Blink,W-U-R-G Domain Zoo,14,7,1,22,66.7
Jeskai Blink,Izzet Aggro,4,1,0,5,80.0
Jeskai Blink,Jeskai Blink,15,15,0,30,50.0
Jeskai Blink,Simic Birthing Ritual,1,4,0,5,20.0
Jeskai Blink,Izzet Prowess,12,5,3,20,70.6
Jeskai Blink,Mono-Red Combo,1,0,1,2,100.0
Jeskai Blink,W-U-B-G Goryo's Vengeance,3,4,2,9,42.9
W-U-R-G Domain Zoo,Colorless,1,0,0,1,100.0
W-U-R-G Domain Zoo,Mono-Green Amulet Titan,5,0,0,5,100.0
W-U-R-G Domain Zoo,Jeskai Prowess,1,0,0,1,100.0
Jeskai Blink,Esper Merfolk,1,0,0,1,100.0
Jeskai Blink,Esper Control,1,0,0,1,100.0
Jeskai Blink,Boros Energy,2,3,0,5,40.0
Jeskai Blink,Esper Domain Zoo,1,2,0,3,33.3
Jeskai Blink,Izzet Affinity,3,3,1,7,50.0
Jeskai Blink,Golgari Yawgmoth,1,0,0,1,100.0
Jeskai Blink,Bant Aggro,1,0,0,1,100.0
Jeskai Blink,Jeskai Aggro,2,0,0,2,100.0
Jeskai Blink,Gruul Eldrazi Aggro,1,2,0,3,33.3
Jeskai Blink,W-U-R-G Birthing Ritual,1,1,0,2,50.0
Simic Birthing Ritual,Gruul,1,0,0,1,100.0
Simic Birthing Ritual,Jeskai Blink,4,1,0,5,80.0
Simic Birthing Ritual,W-U-R-G Domain Zoo,1,2,0,3,33.3
Simic Birthing Ritual,Izzet Affinity,1,0,0,1,100.0
Jeskai Blink,Mono-Green Broodscale,3,0,1,4,100.0
Jeskai Blink,Boros Belcher,1,0,0,1,100.0
Jeskai Blink,Gruul Broodscale,2,4,0,6,33.3
Izzet Prowess,Boros Energy,2,1,0,3,66.7
Izzet Prowess,Golgari Broodscale,1,1,0,2,50.0
Izzet Prowess,Izzet Affinity,1,4,0,5,20.0
Izzet Prowess,Gruul Broodscale,0,3,0,3,0.0
Izzet Prowess,W-U-R-G Domain Zoo,6,8,0,14,42.9
Izzet Prowess,Azorius Control (Kaheera),2,0,0,2,100.0
Izzet Prowess,Jeskai Blink,5,12,3,20,29.4
Izzet Prowess,Mono-Blue Merfolk,1,0,0,1,100.0
Jeskai Blink,Mono-Green Amulet Titan,6,4,0,10,60.0
Jeskai Blink,Simic,1,0,0,1,100.0
Jeskai Blink,Mono-Blue Merfolk,3,2,0,5,60.0
Izzet Prowess,Izzet Prowess,9,9,0,18,50.0
Izzet Prowess,W-U-B-G Goryo's Vengeance,4,5,0,9,44.4
Izzet Prowess,Boros,2,1,0,3,66.7
Izzet Prowess,Colorless Eldrazi,1,1,0,2,50.0
Boros Energy,W-U-R-G Domain Zoo,1,1,0,2,50.0
