archetype_a,archetype_b,win,loss,draw,games,winrate
Boros Belcher,W-U-B-G Goryo's Vengeance,1,0,0,1,100.0
Boros Belcher,W-U-R-G Domain Zoo,1,0,0,1,100.0
Boros Belcher,Simic,0,1,0,1,0.0
Boros Belcher,Mono-Green Amulet Titan,3,0,0,3,100.0
Boros Belcher,Izzet Affinity,1,1,0,2,50.0
Boros Belcher,Izzet Prowess,1,0,0,1,100.0
Boros Belcher,W-U-B-R-G Birthing Ritual,1,0,0,1,100.0
Boros Belcher,Jeskai Blink,1,0,0,1,100.0
Izzet Affinity,Jeskai Blink,14,18,2,34,43.8
Izzet Affinity,Jeskai Hardened Scales,1,0,0,1,100.0
Izzet Affinity,Mono-Blue,0,1,0,1,0.0
Izzet Affinity,Simic Birthing Ritual,2,1,0,3,66.7
Izzet Affinity,Golgari Combo,1,0,0,1,100.0
Izzet Affinity,Mono-Green Amulet Titan,5,7,1,13,41.7
Izzet Affinity,W-U-R-G Domain Zoo,2,3,0,5,40.0
Izzet Affinity,Mono-Red,1,0,0,1,100.0
Izzet Affinity,Simic Neoform,1,2,0,3,33.3
Boros Energy,W-U-R-G,1,1,0,2,50.0
Boros Energy,Izzet Affinity,3,2,1,6,60.0
Boros Energy,Jeskai Aggro,1,2,0,3,33.3
Boros Energy,Golgari Combo,1,0,0,1,100.0
Boros Energy,Mono-Green Amulet Titan,3,2,0,5,60.0
Boros Energy,Boros Aggro,2,1,0,3,66.7
Boros Energy,W-U-B-R-G Birthing Ritual,1,0,0,1,100.0
Boros Energy,W-U-B-G Goryo's Vengeance,1,1,1,3,50.0
Boros Energy,Simic Neoform,1,0,0,1,100.0
Izzet Affinity,Mono-Red Storm,3,1,0,4,75.0
Izzet Affinity,Izzet Affinity,2,2,0,4,50.0
Izzet Affinity,Dimir Midrange,2,2,0,4,50.0
Izzet Affinity,Mono-Blue Belcher,3,3,0,6,50.0
Izzet Affinity,Boros,1,1,0,2,50.0
Izzet Affinity,Boros Energy,2,3,1,6,40.0
Izzet Affinity,Boros Aggro,1,1,1,3,50.0
Izzet Affinity,Boros Belcher,1,1,0,2,50.0
Boros Aggro,Jeskai Blink,4,4,0,8,50.0
Boros Aggro,Jeskai Twin,1,0,0,1,100.0
Boros Aggro,Boros Energy,1,2,0,3,33.3
Boros Aggro,Izzet,1,0,0,1,100.0
Boros Aggro,Mono-Green Amulet Titan,1,0,0,1,100.0
Boros Aggro,Izzet Affinity,1,1,1,3,50.0
W-U-B-G Goryo's Vengeance,Jeskai,3,3,0,6,50.0
W-U-B-G Goryo's Vengeance,Mono-Green Amulet Titan,2,2,0,4,50.0
W-U-B-G Goryo's Vengeance,Mono-Blue Tron,0,2,0,2,0.0
W-U-B-G Goryo's Vengeance,Jeskai Twin,2,0,0,2,100.0
W-U-B-G Goryo's Vengeance,Jeskai Hammer Time,1,0,0,1,100.0
W-U-B-G Goryo's Vengeance,Boros Energy,1,1,1,3,50.0
W-U-B-G Goryo's Vengeance,Dimir Midrange,2,0,0,2,100.0
W-U-B-G Goryo's Vengeance,W-U-R-G,2,0,0,2,100.0
Simic Neoform,W-U-B-G Combo,1,0,0,1,100.0
Simic Neoform,Izzet Affinity,2,1,0,3,66.7
Simic Neoform,Izzet,1,0,0,1,100.0
Simic Neoform,Abzan Yawgmoth,1,0,0,1,100.0
Simic Neoform,W-U-B-R-G Birthing Ritual,0,1,0,1,0.0
Simic Neoform,Izzet Prowess,1,0,0,1,100.0
Simic Neoform,Simic,1,0,0,1,100.0
Simic Neoform,Mono-Green Amulet Titan,1,1,1,3,50.0
Simic Neoform,Boros Energy,0,1,0,1,0.0
Mono-Green Amulet Titan,Jeskai,4,0,0,4,100.0
Mono-Green Amulet Titan,Colorless,1,0,0,1,100.0
Mono-Green Amulet Titan,Boros Energy,2,3,0,5,40.0
Mono-Green Amulet Titan,Mono-Blue,1,0,0,1,100.0
Mono-Green Amulet Titan,W-U-B-G Goryo's Vengeance,2,2,0,4,50.0
Mono-Green Amulet Titan,Boros,2,0,0,2,100.0
Mono-Green Amulet Titan,Simic Neoform,1,1,1,3,50.0
Mono-Green Amulet Titan,Boros Belcher,0,3,0,3,0.0
W-U-R-G Domain Zoo,W-U-B-R-G Birthing Ritual,1,0,0,1,100.0
W-U-R-G Domain Zoo,Esper Control,0,0,1,1,
W-U-R-G Domain Zoo,Esper Blink,1,0,0,1,100.0
W-U-R-G Domain Zoo,Jeskai Blink,8,8,0,16,50.0
W-U-R-G Domain Zoo,Mono-Green Amulet Titan,2,3,0,5,40.0
W-U-R-G Domain Zoo,Jeskai,3,0,0,3,100.0
W-U-R-G Domain Zoo,Izzet Affinity,3,2,0,5,60.0
Azorius Control (Kaheera),Izzet Amulet Titan,0,0,1,1,
Azorius Control (Kaheera),Boros Aggro,1,0,0,1,100.0
Azorius Control (Kaheera),Gruul Broodscale,1,0,0,1,100.0
Azorius Control (Kaheera),W-U-B-G Goryo's Vengeance,2,0,0,2,100.0
Azorius Control (Kaheera),Jeskai,0,1,0,1,0.0
Azorius Control (Kaheera),Izzet Affinity,1,0,0,1,100.0
Azorius Control (Kaheera),Jeskai Blink,1,1,0,2,50.0
Azorius Control (Kaheera),Jeskai Hammer Time,1,0,0,1,100.0
Azorius Control (Kaheera),Mono-Green Amulet Titan,1,0,0,1,100.0
Jeskai Blink,Izzet Aggro,3,5,0,8,37.5
Jeskai Blink,Jeskai Blink,23,23,6,52,50.0
Jeskai Blink,Izzet,3,5,1,9,37.5
Jeskai Blink,Jeskai Yawgmoth,1,0,0,1,100.0
Jeskai Blink,Boros,3,2,1,6,60.0
Jeskai Blink,W-U-R-G,5,5,1,11,50.0
Jeskai Blink,Dimir Midrange,3,3,0,6,50.0
Jeskai Blink,Simic Birthing Ritual,4,7,0,11,36.4
Jeskai Blink,Gruul Control,1,0,0,1,100.0
Jeskai Blink,Izzet Affinity,18,14,2,34,56.2
Jeskai Blink,W-U-R-G Domain Zoo,8,8,0,16,50.0
Jeskai Blink,Boros Aggro,4,4,0,8,50.0
Jeskai Blink,Mono-Green Amulet Titan,9,11,0,20,45.0
Jeskai Blink,Boros Energy,6,6,0,12,50.0
Jeskai Blink,Boros Belcher,0,1,0,1,0.0
Mono-Red,Esper,0,1,0,1,0.0
Mono-Red,W-U-B-G Goryo's Vengeance,1,0,0,1,100.0
Mono-Red,Gruul,1,0,0,1,100.0
Mono-Red,Jeskai Blink,3,0,0,3,100.0
Mono-Red,Mono-Green Amulet Titan,1,0,0,1,100.0
Mono-Red,Simic Oculus,1,0,0,1,100.0
Mono-Red,Mono-Blue Belcher,1,0,0,1,100.0
Mono-Red,Izzet Aggro,2,0,0,2,100.0
Mono-Red,Izzet Affinity,0,1,0,1,0.0
Jeskai Yawgmoth,Izzet Prowess,3,0,0,3,100.0
Jeskai Yawgmoth,Esper,1,0,0,1,100.0
Jeskai Yawgmoth,Izzet Affinity,1,0,0,1,100.0
Jeskai Yawgmoth,Jeskai Blink,0,1,0,1,0.0
Jeskai Yawgmoth,Simic,0,1,0,1,0.0
Jeskai Yawgmoth,Boros Aggro,1,0,0,1,100.0
Jeskai Yawgmoth,Simic Amulet Titan,1,0,0,1,100.0
Golgari Yawgmoth,W-U-R-G Domain Zoo,1,0,0,1,100.0
Golgari Yawgmoth,Dimir Mill,1,0,0,1,100.0
Golgari Yawgmoth,Boros Aggro,1,0,0,1,100.0
Golgari Yawgmoth,Boros Energy,0,1,0,1,0.0
Golgari Yawgmoth,Selesnya,1,0,0,1,100.0
Golgari Yawgmoth,Mono-Green Amulet Titan,0,2,0,2,0.0
Golgari Yawgmoth,Mardu Lantern Control,1,0,0,1,100.0
Golgari Yawgmoth,Abzan Yawgmoth,1,0,0,1,100.0
Golgari Yawgmoth,Jeskai Blink,1,1,0,2,50.0
Izzet,Mono-Green,3,0,0,3,100.0
Izzet,Jeskai Blink,5,3,1,9,62.5
Izzet,Simic Birthing Ritual,1,1,0,2,50.0
Izzet,Jeskai Energy,1,0,1,2,100.0
Izzet,Grixis,1,0,0,1,100.0
Izzet,Boros Aggro,0,1,0,1,0.0
Izzet,Mono-Blue Belcher,1,0,0,1,100.0
Izzet,W-U-R-G,1,0,0,1,100.0
Boros Energy,Jeskai Blink,6,6,0,12,50.0
Boros Energy,Mono-Blue,2,0,0,2,100.0
Boros Energy,Izzet Prowess,5,0,0,5,100.0
Boros Energy,Mono-Red,1,0,0,1,100.0
Mono-Green Amulet Titan,W-U-R-G Domain Zoo,3,2,0,5,60.0
Mono-Green Amulet Titan,Jeskai Blink,11,9,0,20,55.0
Mono-Green Amulet Titan,Mono-Green Amulet Titan,7,7,0,14,50.0
Mono-Green Amulet Titan,Izzet Prowess,0,4,0,4,0.0
Mono-Green Amulet Titan,Jeskai Control,1,0,0,1,100.0
Izzet Aggro,Esper Blink,2,0,0,2,100.0
Izzet Aggro,Simic,1,2,0,3,33.3
Izzet Aggro,Esper,1,0,0,1,100.0
Izzet Aggro,Jeskai Blink,5,3,0,8,62.5
Izzet Aggro,Gruul Broodscale,1,0,0,1,100.0
Izzet Aggro,Colorless,1,0,0,1,100.0
Izzet Aggro,Mono-Red,0,2,0,2,0.0
Izzet Aggro,Izzet Affinity,3,0,0,3,100.0
Boros Energy,Boros Energy,2,2,0,4,50.0
Boros Energy,Izzet Aggro,1,0,0,1,100.0
Boros Energy,Dimir Mill,2,1,0,3,66.7
Boros Energy,Mono-Red Storm,1,2,0,3,33.3
Boros Energy,Gruul Broodscale,1,1,0,2,50.0
Dimir Midrange,Jeskai Hardened Scales,0,1,0,1,0.0
Dimir Midrange,Boros Energy,1,0,1,2,100.0
Dimir Midrange,Jeskai Blink,3,3,0,6,50.0
Dimir Midrange,Izzet Affinity,2,2,0,4,50.0
Dimir Midrange,Mono-Green Amulet Titan,2,0,0,2,100.0
Dimir Midrange,Simic,3,1,0,4,75.0
Jeskai Blink,Simic,7,4,0,11,63.6
Jeskai Blink,W-U-B-G Goryo's Vengeance,9,7,1,17,56.2
Jeskai Blink,Mono-Red Combo,2,1,0,3,66.7
Jeskai Blink,Bant Neoform,1,0,0,1,100.0
Jeskai Blink,Selesnya,1,1,0,2,50.0
Gruul Eldrazi Ramp,Mono-Green Eldrazi Ramp,1,0,0,1,100.0
Gruul Eldrazi Ramp,Jeskai Blink,2,2,0,4,50.0
Gruul Eldrazi Ramp,Mono-Blue Tron,1,1,0,2,50.0
Gruul Eldrazi Ramp,Izzet,1,0,0,1,100.0
Gruul Eldrazi Ramp,Izzet Prowess,1,0,0,1,100.0
Gruul Eldrazi Ramp,W-U-R-G Domain Zoo,1,0,0,1,100.0
Gruul Eldrazi Ramp,Mono-Red Storm,1,0,0,1,100.0
Gruul Eldrazi Ramp,Mono-Green Amulet Titan,2,2,0,4,50.0
W-U-B-G,Esper Blink,1,0,1,2,100.0
W-U-B-G,Golgari Yawgmoth,0,1,0,1,0.0
W-U-B-G,Mono-Red,1,0,0,1,100.0
W-U-B-G,Boros Aggro,2,0,0,2,100.0
W-U-B-G,Izzet Prowess,2,2,0,4,50.0
W-U-B-G,Dimir,1,0,0,1,100.0
W-U-B-G,W-U-B-G Goryo's Vengeance,3,0,1,4,100.0
W-U-B-G,Jeskai Hammer Time,1,0,0,1,100.0
Boros,Mono-Blue Belcher,1,1,0,2,50.0
Boros,Izzet Affinity,1,1,0,2,50.0
Boros,Izzet Prowess,1,0,0,1,100.0
Boros,Gruul Aggro,1,0,0,1,100.0
Boros,Boros Energy,1,1,0,2,50.0
Boros,Jeskai Blink,2,3,1,6,40.0
Boros,Mono-Green Amulet Titan,0,2,0,2,0.0
Boros,W-U-B-R-G Birthing Ritual,0,0,1,1,
W-U-B-R-G Birthing Ritual,Mono-Green Amulet Titan,1,0,0,1,100.0
W-U-B-R-G Birthing Ritual,Azorius Control,1,0,0,1,100.0
W-U-B-R-G Birthing Ritual,Jeskai Blink,1,0,0,1,100.0
W-U-B-R-G Birthing Ritual,Simic,1,0,0,1,100.0
W-U-B-R-G Birthing Ritual,Simic Neoform,1,0,0,1,100.0
W-U-B-R-G Birthing Ritual,Izzet Prowess,1,0,0,1,100.0
W-U-B-R-G Birthing Ritual,Boros Energy,0,1,0,1,0.0
W-U-B-R-G Birthing Ritual,Boros Belcher,0,1,0,1,0.0
W-U-B-R-G Birthing Ritual,Boros,0,0,1,1,
Simic,Jeskai Blink,4,7,0,11,36.4
Simic,Dimir Midrange,1,3,0,4,25.0
Simic,Mono-Red Storm,3,0,0,3,100.0
Simic,Izzet Prowess,1,2,0,3,33.3
Simic,Jeskai Yawgmoth,1,0,0,1,100.0
Simic,Simic Neoform,0,1,0,1,0.0
Simic,Jeskai,1,0,0,1,100.0
Simic,Mono-Blue Tron,1,0,1,2,100.0
Boros Energy,Esper Murktide,1,0,0,1,100.0
Boros Energy,Simic Amulet Titan,1,0,0,1,100.0
Boros Energy,Dimir Midrange,0,1,1,2,0.0
Mono-Blue Tron,W-U-B-G Goryo's Vengeance,2,0,0,2,100.0
Mono-Blue Tron,Mono-Blue Belcher,1,0,0,1,100.0
Mono-Blue Tron,Jeskai Combo,1,0,0,1,100.0
Mono-Blue Tron,Mono-Green Amulet Titan,0,1,0,1,0.0
Mono-Blue Tron,Jeskai Blink,0,1,0,1,0.0
Mono-Blue Tron,Gruul Eldrazi Ramp,1,1,0,2,50.0
Mono-Blue Tron,Izzet Prowess,1,1,0,2,50.0
Mono-Blue Tron,Simic,0,1,1,2,0.0
Dimir Midrange,Boros,1,0,0,1,100.0
Dimir Midrange,Jeskai Mill,1,0,0,1,100.0
Dimir Midrange,Izzet,1,0,0,1,100.0
Dimir Midrange,W-U-B-G Goryo's Vengeance,0,2,0,2,0.0
Dimir Midrange,Izzet Aggro,2,0,0,2,100.0
Izzet Affinity,W-U-B-G,1,1,0,2,50.0
Izzet Affinity,Izzet Amulet Titan,1,1,1,3,50.0
Izzet Affinity,Jeskai Yawgmoth,0,1,0,1,0.0
Izzet Affinity,Golgari Control,1,0,0,1,100.0
W-U-B-G Goryo's Vengeance,W-U-R-G Domain Zoo,2,1,0,3,66.7
W-U-B-G Goryo's Vengeance,Jeskai Blink,7,9,1,17,43.8
W-U-B-G Goryo's Vengeance,W-U-B-G,0,3,1,4,0.0
Jeskai Blink,W-U-R-G Aggro,2,1,0,3,66.7
Jeskai Blink,Mono-Blue Belcher,2,8,0,10,20.0
Jeskai Blink,Mono-Green,2,1,1,4,66.7
Jeskai Blink,Gruul Broodscale,2,1,1,4,66.7
Gruul Broodscale,Simic Amulet Titan,1,0,0,1,100.0
Gruul Broodscale,Izzet Prowess,0,0,1,1,
Gruul Broodscale,Gruul,1,1,0,2,50.0
Gruul Broodscale,Esper Control,1,0,0,1,100.0
Gruul Broodscale,W-U-B-G,1,0,0,1,100.0
Gruul Broodscale,Jeskai,0,1,0,1,0.0
Gruul Broodscale,Jeskai Blink,1,2,1,4,33.3
Gruul Broodscale,Dimir,2,0,0,2,100.0
Mono-Green Amulet Titan,Esper Blink,2,0,0,2,100.0
Mono-Green Amulet Titan,Simic Birthing Ritual,0,3,0,3,0.0
Mono-Green Amulet Titan,Izzet Affinity,7,5,1,13,58.3
Mono-Green Amulet Titan,Azorius Control (Kaheera),0,1,0,1,0.0
Izzet Prowess,Esper Blink,2,0,0,2,100.0
Izzet Prowess,Gruul Broodscale,0,0,1,1,
Izzet Prowess,Jeskai Hammer Time,0,1,1,2,0.0
Izzet Prowess,Gruul,2,0,0,2,100.0
Izzet Prowess,W-U-B-G,2,2,0,4,50.0
Izzet Prowess,W-U-R-G,3,0,0,3,100.0
Izzet Prowess,Izzet Amulet Titan,2,0,0,2,100.0
Izzet Prowess,Izzet Prowess,5,5,0,10,50.0
Jeskai Blink,Jeskai Combo,1,1,0,2,50.0
Jeskai Blink,Simic Neoform,2,1,0,3,66.7
Jeskai Blink,Dimir,3,0,1,4,100.0
Jeskai Blink,W-U-B-G Burn,1,1,1,3,50.0
Simic Birthing Ritual,Mono-Blue Belcher,0,2,0,2,0.0
Simic Birthing Ritual,W-U-R-G Domain Zoo,2,0,1,3,100.0
Simic Birthing Ritual,Abzan Birthing Ritual,0,1,0,1,0.0
Simic Birthing Ritual,Mono-Green Amulet Titan,3,0,0,3,100.0
Simic Birthing Ritual,Grixis,1,0,0,1,100.0
Simic Birthing Ritual,W-U-B-G,3,0,0,3,100.0
Simic Birthing Ritual,Jeskai Blink,7,4,0,11,63.6
Simic Birthing Ritual,Izzet Affinity,1,2,0,3,33.3
Mono-Blue Belcher,Jeskai Blink,8,2,0,10,80.0
Mono-Blue Belcher,Izzet Affinity,3,3,0,6,50.0
Mono-Blue Belcher,W-U-B-G Burn,1,1,0,2,50.0
Mono-Blue Belcher,Mono-Red,0,1,0,1,0.0
Mono-Blue Belcher,Izzet,0,1,0,1,0.0
Mono-Blue Belcher,Simic Birthing Ritual,2,0,0,2,100.0
Boros Energy,Simic Aggro,1,0,0,1,100.0
Boros Energy,Simic Birthing Ritual,1,1,0,2,50.0
Boros Energy,Golgari Yawgmoth,1,0,0,1,100.0
Boros Energy,Boros,1,1,0,2,50.0
W-U-R-G,Jeskai Aggro,1,0,0,1,100.0
W-U-R-G,Jeskai Blink,5,5,1,11,50.0
W-U-R-G,Gruul Aggro,0,1,0,1,0.0
W-U-R-G,Mono-Red Storm,1,0,0,1,100.0
W-U-R-G,Izzet Aggro,1,0,0,1,100.0
W-U-R-G,W-U-B-G Goryo's Vengeance,0,2,0,2,0.0
W-U-R-G,Izzet,0,1,0,1,0.0
Simic Birthing Ritual,Izzet,1,1,0,2,50.0
Simic Birthing Ritual,Boros Energy,1,1,0,2,50.0
Mono-Green Amulet Titan,Gruul Eldrazi Ramp,2,2,0,4,50.0
Mono-Green Amulet Titan,Jeskai Energy,1,0,0,1,100.0
Mono-Green Amulet Titan,Simic,1,0,0,1,100.0
Mono-Green Amulet Titan,Grixis,3,0,0,3,100.0
