archetype_a,archetype_b,win,loss,draw,games,winrate
Izzet Affinity,Boros Energy,2,1,0,3,66.7
Izzet Affinity,W-U-B-G Living End,2,0,0,2,100.0
Izzet Affinity,W-U-B-G Goryo's,1,1,1,3,50.0
Izzet Affinity,Gruul Eldrazi Ramp,1,1,0,2,50.0
Izzet Affinity,Dimir Midrange,1,0,0,1,100.0
Izzet Affinity,Mono-Red Storm,0,1,1,2,0.0
Izzet Affinity,Grixis Reanimator,1,0,0,1,100.0
Izzet Affinity,Izzet,1,0,0,1,100.0
Izzet Affinity,Simic Ritual,0,2,0,2,0.0
Mono-Green Amulet Titan,Dimir Midrange,1,0,0,1,100.0
Mono-Green Amulet Titan,Izzet Affinity,1,1,0,2,50.0
Mono-Green Amulet Titan,Izzet,1,0,0,1,100.0
Mono-Green Amulet Titan,W-U-B-G Goryo's,0,0,1,1,
Mono-Green Amulet Titan,Mono-Red Storm,0,0,1,1,
Mono-Red Storm,Gruul Eldrazi Ramp,1,0,0,1,100.0
Mono-Red Storm,Boros Energy,1,0,0,1,100.0
Mono-Red Storm,Izzet Affinity,1,0,1,2,100.0
Mono-Red Storm,Mono-Green Amulet Titan,0,0,1,1,
Mono-Red Storm,W-U-B-G Goryo's,1,0,0,1,100.0
Mono-Red Storm,Simic Ritual,1,0,0,1,100.0
W-U-B-G Goryo's,Gruul Eldrazi Ramp,1,0,0,1,100.0
W-U-B-G Goryo's,Boros Energy,2,0,0,2,100.0
W-U-B-G Goryo's,W-U-B-G Goryo's,1,1,0,2,50.0
W-U-B-G Goryo's,Mono-Green Amulet Titan,0,0,1,1,
W-U-B-G Goryo's,Izzet Affinity,1,1,1,3,50.0
W-U-B-G Goryo's,Mono-Red Storm,0,1,0,1,0.0
Izzet Affinity,Izzet Prowess,1,0,0,1,100.0
Izzet Affinity,Colorless Eldrazi Tron,1,0,0,1,100.0
Izzet Affinity,Izzet Aggro,1,0,0,1,100.0
Izzet Affinity,Mono-Green Amulet Titan,1,1,0,2,50.0
Simic Ritual,Izzet,0,0,1,1,
Simic Ritual,W-U-R-G Domain Zoo,1,0,0,1,100.0
Simic Ritual,Mardu Combo,1,0,0,1,100.0
Simic Ritual,Izzet Wizards,1,0,0,1,100.0
Simic Ritual,Dimir Midrange,0,0,1,1,
Simic Ritual,Izzet Affinity,2,0,0,2,100.0
Simic Ritual,Mono-Red Storm,0,1,0,1,0.0
Dimir Midrange,Mono-Green Amulet Titan,0,1,0,1,0.0
Dimir Midrange,Boros Ruby Storm,1,0,0,1,100.0
Dimir Midrange,Gruul Broodscale,1,0,0,1,100.0
Dimir Midrange,Gruul Eldrazi Ramp,1,0,0,1,100.0
Dimir Midrange,Simic Ritual,0,0,1,1,
Dimir Midrange,Izzet Affinity,0,1,0,1,0.0
W-U-B-G Goryo's,Mono-Black Midrange,1,0,0,1,100.0
Gruul Eldrazi Ramp,W-U-B-G Goryo's,0,1,0,1,0.0
Gruul Eldrazi Ramp,Grixis Reanimator,1,0,0,1,100.0
Gruul Eldrazi Ramp,Izzet Affinity,1,1,0,2,50.0
Gruul Eldrazi Ramp,Dimir Midrange,0,1,0,1,0.0
Gruul Eldrazi Ramp,Izzet Aggro,2,0,0,2,100.0
Gruul Eldrazi Ramp,Mardu Combo,1,0,0,1,100.0
Gruul Eldrazi Ramp,Mono-Red Storm,0,1,0,1,0.0
Gruul Eldrazi Ramp,Mono-Black Midrange,1,0,0,1,100.0
