archetype_a,archetype_b,win,loss,draw,games,winrate
Izzet Aggro,Boros Aggro,0,1,0,1,0.0
Izzet Aggro,Mono-Blue Merfolk,1,0,0,1,100.0
Izzet Aggro,Mono-Blue Belcher,1,0,0,1,100.0
Izzet Aggro,Izzet Prowess,2,1,0,3,66.7
Izzet Aggro,Simic Amulet Titan,2,0,0,2,100.0
Izzet Aggro,Jeskai Blink,4,3,0,7,57.1
Izzet Aggro,Boros Energy,1,1,0,2,50.0
Izzet Aggro,Mono-Red Storm,1,0,0,1,100.0
Izzet Aggro,Grixis Affinity,2,1,0,3,66.7
Grixis Affinity,Jeskai Energy,3,1,0,4,75.0
Grixis Affinity,Jeskai Blink,8,4,1,13,66.7
Grixis Affinity,Mono-Blue Belcher,7,2,0,9,77.8
Grixis Affinity,W-U-R-G Domain Zoo,3,2,0,5,60.0
Grixis Affinity,W-U-B-G Goryo's Vengeance,4,2,0,6,66.7
Grixis Affinity,Mono-Red Belcher,2,0,0,2,100.0
Grixis Affinity,Izzet Prowess,2,1,1,4,66.7
Grixis Affinity,Grixis Affinity,1,1,2,4,50.0
Grixis Affinity,Mono-Green Broodscale,0,3,0,3,0.0
Grixis Affinity,Simic Amulet Titan,1,2,0,3,33.3
Grixis Affinity,Boros Energy,5,5,0,10,50.0
Grixis Affinity,Simic Birthing Ritual,1,0,0,1,100.0
Grixis Affinity,Jeskai Control (Kaheera),1,0,0,1,100.0
Grixis Affinity,Izzet,1,0,0,1,100.0
Grixis Affinity,Mono-Green Tron,1,0,0,1,100.0
Grixis Affinity,Izzet Aggro,1,2,0,3,33.3
Izzet Prowess,Grixis,1,1,0,2,50.0
Izzet Prowess,Grixis Affinity,1,2,1,4,33.3
Izzet Prowess,Jeskai Energy,0,2,0,2,0.0
Izzet Prowess,Boros Energy,8,5,0,13,61.5
Izzet Prowess,Izzet Prowess,5,5,0,10,50.0
Izzet Prowess,Gruul Eldrazi Ramp,1,3,0,4,25.0
Izzet Prowess,Mono-Blue Tron,4,1,0,5,80.0
Izzet Prowess,Jeskai Blink,12,15,0,27,44.4
Izzet Prowess,W-U-B-G Goryo's Vengeance,5,9,1,15,35.7
Jeskai Blink,Izzet Affinity,24,20,2,46,54.5
Jeskai Blink,Colorless Tron,1,3,0,4,25.0
Jeskai Blink,Golgari Yawgmoth,1,5,0,6,16.7
Jeskai Blink,Boros Energy,22,21,1,44,51.2
Jeskai Blink,Simic Midrange,1,2,0,3,33.3
Jeskai Blink,Jeskai Blink,46,46,18,110,50.0
Jeskai Blink,W-U-B-G Goryo's Vengeance,23,15,1,39,60.5
Jeskai Blink,Mono-Blue Belcher,10,12,0,22,45.5
Jeskai Blink,Gruul Eldrazi Aggro,2,2,0,4,50.0
Jeskai Blink,Mono-Green Broodscale,5,3,0,8,62.5
Jeskai Blink,Grixis Affinity,4,8,1,13,33.3
Jeskai Blink,Izzet Prowess,15,12,0,27,55.6
Jeskai Blink,Izzet Aggro,3,4,0,7,42.9
Mono-Blue Belcher,Gruul Broodscale,3,0,0,3,100.0
Mono-Blue Belcher,W-U-B-G Goryo's Vengeance,8,6,0,14,57.1
Mono-Blue Belcher,Simic Amulet Titan,2,0,0,2,100.0
Mono-Blue Belcher,Esper Blink,1,1,1,3,50.0
Mono-Blue Belcher,Gruul Eldrazi Ramp,2,1,0,3,66.7
Mono-Blue Belcher,Jeskai Blink,12,10,0,22,54.5
Mono-Blue Belcher,Izzet Prowess,4,11,0,15,26.7
Mono-Blue Belcher,Jeskai Control (Kaheera),2,0,0,2,100.0
Mono-Blue Belcher,Grixis Affinity,2,7,0,9,22.2
Mono-Blue Belcher,Boros Energy,5,4,0,9,55.6
Mono-Blue Belcher,Mono-Green Broodscale,0,2,1,3,0.0
Mono-Green Broodscale,Boros Energy,4,1,0,5,80.0
Mono-Green Broodscale,Grixis Affinity,3,0,0,3,100.0
Mono-Green Broodscale,Esper Blink,0,1,0,1,0.0
Mono-Green Broodscale,Mono-Blue Belcher,2,0,1,3,100.0
Mono-Green Broodscale,Gruul Eldrazi Ramp,2,0,0,2,100.0
Mono-Green Broodscale,Mono-Green Amulet Titan,1,1,0,2,50.0
Mono-Green Broodscale,Jeskai Control (Kaheera),0,1,0,1,0.0
Mono-Green Broodscale,W-U-B-G Goryo's Vengeance,1,1,0,2,50.0
Mono-Green Broodscale,Simic Amulet Titan,1,0,0,1,100.0
Mono-Green Broodscale,Jeskai Blink,3,5,0,8,37.5
Simic Amulet Titan,Boros Aggro,3,2,0,5,60.0
Simic Amulet Titan,Jeskai,1,0,0,1,100.0
Simic Amulet Titan,Jeskai Blink,1,10,0,11,9.1
Simic Amulet Titan,Boros Energy,5,4,0,9,55.6
Simic Amulet Titan,Izzet,2,1,0,3,66.7
Simic Amulet Titan,Simic,2,0,0,2,100.0
Simic Amulet Titan,Izzet Prowess,5,4,0,9,55.6
Simic Amulet Titan,W-U-R-G Aggro,1,1,0,2,50.0
