archetype_a,archetype_b,win,loss,draw,games,winrate
Izzet Affinity,Izzet Prowess,2,0,0,2,100.0
Izzet Affinity,Grixis Control,0,1,0,1,0.0
Izzet Affinity,U-B-R-G Dredge,1,1,0,2,50.0
Izzet Affinity,Dimir,1,0,0,1,100.0
Izzet Affinity,Izzet Aggro,1,0,0,1,100.0
Izzet Affinity,Esper Blink,1,0,0,1,100.0
Izzet Affinity,Jeskai Combo,1,0,0,1,100.0
Izzet Affinity,Jeskai Blink,0,1,0,1,0.0
Mono-Black Control,Grixis Murktide,1,0,0,1,100.0
Mono-Black Control,Mono-Red Storm,1,0,0,1,100.0
Mono-Black Control,Моно-Синий,1,0,0,1,100.0
Mono-Black Control,Mono-Green Amulet Titan,1,0,0,1,100.0
Mono-Black Control,W-U-B-R-G Domain Zoo,1,1,0,2,50.0
Mono-Black Control,W-U-B-G Goryo's Vengeance,0,0,1,1,
Mono-Black Control,Mono-Blue Eldrazi,0,0,1,1,
W-U-B-G Goryo's Vengeance,Izzet Prowess,1,0,0,1,100.0
W-U-B-G Goryo's Vengeance,Mono-Red Midrange (Obosh),1,0,0,1,100.0
W-U-B-G Goryo's Vengeance,Azorius Blink,1,0,0,1,100.0
W-U-B-G Goryo's Vengeance,Izzet Aggro,1,0,0,1,100.0
W-U-B-G Goryo's Vengeance,Boros Midrange,1,0,0,1,100.0
W-U-B-G Goryo's Vengeance,Mono-Black Control,0,0,1,1,
W-U-B-G Goryo's Vengeance,W-U-B-R-G Domain Zoo,0,0,1,1,
W-U-B-G Goryo's Vengeance,Jeskai Blink,0,1,0,1,0.0
Mono-Blue Eldrazi,Boros Energy,1,0,0,1,100.0
Mono-Blue Eldrazi,Mono-Blue Merfolk,1,0,0,1,100.0
Mono-Blue Eldrazi,Jeskai Blink,1,1,0,2,50.0
Mono-Blue Eldrazi,Boros Midrange,1,1,0,2,50.0
Mono-Blue Eldrazi,W-U-R-G Birthing Ritual,1,0,0,1,100.0
Mono-Blue Eldrazi,Grixis Control,1,0,0,1,100.0
Mono-Blue Eldrazi,Mono-Black Control,0,0,1,1,
Boros Midrange,Izzet Prowess,1,0,0,1,100.0
Boros Midrange,Boros,1,0,0,1,100.0
Boros Midrange,Grixis Control,1,0,0,1,100.0
Boros Midrange,Mono-Blue Eldrazi,1,1,0,2,50.0
Boros Midrange,W-U-B-G Goryo's Vengeance,0,1,0,1,0.0
Boros Midrange,Boros Energy,1,0,0,1,100.0
Boros Midrange,Jeskai Blink,0,0,1,1,
Jeskai Blink,Temur,1,0,0,1,100.0
Jeskai Blink,W-U-R-G Birthing Ritual,1,0,0,1,100.0
Jeskai Blink,Mono-Blue Eldrazi,1,1,0,2,50.0
Jeskai Blink,Esper Control,1,0,0,1,100.0
Jeskai Blink,Simic Amulet Titan,1,0,0,1,100.0
Jeskai Blink,Izzet Prowess,1,0,0,1,100.0
Jeskai Blink,Boros Midrange,0,0,1,1,
Jeskai Blink,W-U-B-G Goryo's Vengeance,1,0,0,1,100.0
Jeskai Blink,W-U-B-R-G Domain Zoo,1,0,0,1,100.0
Jeskai Blink,Jeskai Blink,1,1,0,2,50.0
W-U-B-R-G Domain Zoo,Orzhov Blink,1,0,0,1,100.0
W-U-B-R-G Domain Zoo,Mono-Red Storm,1,0,0,1,100.0
W-U-B-R-G Domain Zoo,Jeskai Burn,1,0,0,1,100.0
W-U-B-R-G Domain Zoo,Grixis Affinity,1,0,0,1,100.0
W-U-B-R-G Domain Zoo,Mono-Black Control,1,1,0,2,50.0
W-U-B-R-G Domain Zoo,Моно-Синий,1,0,0,1,100.0
W-U-B-R-G Domain Zoo,W-U-B-G Goryo's Vengeance,0,0,1,1,
W-U-B-R-G Domain Zoo,Jeskai Blink,0,1,0,1,0.0
Jeskai Blink,Simic,1,0,0,1,100.0
Jeskai Blink,Esper Goryo's Vengeance,1,0,0,1,100.0
Jeskai Blink,Mono-Black,1,0,0,1,100.0
Jeskai Blink,W-U-B-R-G Aggro,0,0,1,1,
Jeskai Blink,Esper Blink,0,1,0,1,0.0
Jeskai Blink,Izzet Aggro,1,0,0,1,100.0
Jeskai Blink,Grixis Control,1,0,0,1,100.0
Jeskai Blink,Izzet Affinity,1,0,0,1,100.0
Esper Blink,Mono-Red Storm,0,1,0,1,0.0
Esper Blink,Simic Amulet Titan,1,0,0,1,100.0
Esper Blink,Boros Energy,1,0,0,1,100.0
Esper Blink,Jeskai Blink,1,0,0,1,100.0
Esper Blink,Izzet Affinity,0,1,0,1,0.0
Esper Blink,Mono-Green Amulet Titan,1,0,0,1,100.0
Моно-Синий,Gruul Eldrazi Aggro,1,0,0,1,100.0
Моно-Синий,Boros Energy,1,0,0,1,100.0
Моно-Синий,Mono-Black Control,0,1,0,1,0.0
Моно-Синий,Golgari Lantern Control,1,0,0,1,100.0
Моно-Синий,Grixis Affinity,1,0,0,1,100.0
Моно-Синий,W-U-B-R-G Domain Zoo,0,1,0,1,0.0
Моно-Синий,Mono-Red Storm,1,0,0,1,100.0
Mono-Blue Merfolk,Mono-Red Storm,1,0,0,1,100.0
Mono-Blue Merfolk,Mono-Blue Eldrazi,0,1,0,1,0.0
Mono-Blue Merfolk,Colorless,1,0,0,1,100.0
Mono-Blue Merfolk,Izzet Prowess,0,1,0,1,0.0
Mono-Blue Merfolk,Esper Goryo's Vengeance,1,0,0,1,100.0
Mono-Blue Merfolk,Boros Energy,1,0,0,1,100.0
Izzet Prowess,Izzet Affinity,0,2,0,2,0.0
Izzet Prowess,Mono-Green Hardened Scales,2,1,0,3,66.7
Izzet Prowess,Mono-Red Midrange (Obosh),1,0,0,1,100.0
Izzet Prowess,Mono-Blue Merfolk,1,0,0,1,100.0
Izzet Prowess,Golgari Yawgmoth,1,0,0,1,100.0
Izzet Prowess,Jeskai Blink,0,1,0,1,0.0
Izzet Prowess,Grixis Affinity,2,0,0,2,100.0
W-U-R-G Birthing Ritual,W-U-B-R-G Aggro,0,1,0,1,0.0
W-U-R-G Birthing Ritual,Grixis Affinity,1,0,0,1,100.0
W-U-R-G Birthing Ritual,Gruul Eldrazi Ramp,0,1,0,1,0.0
W-U-R-G Birthing Ritual,Gruul Eldrazi Aggro,1,0,0,1,100.0
W-U-R-G Birthing Ritual,Rakdos Tron,1,0,0,1,100.0
W-U-R-G Birthing Ritual,Mono-Black,1,0,0,1,100.0
W-U-R-G Birthing Ritual,Golgari Yawgmoth,1,0,0,1,100.0
Boros Energy,Jeskai Burn,0,1,0,1,0.0
Boros Energy,Izzet Murktide,2,0,0,2,100.0
Boros Energy,Esper Goryo's Vengeance,1,0,0,1,100.0
Boros Energy,W-U-R-G Birthing Ritual,0,1,0,1,0.0
Boros Energy,Azorius Blink,1,1,0,2,50.0
Boros Energy,Colorless,1,0,0,1,100.0
Boros Energy,Temur Neoform,1,0,0,1,100.0
Jeskai Combo,Boros Energy,0,0,1,1,
Jeskai Combo,W-U-R-G Midrange,0,0,1,1,
Jeskai Combo,Gruul Eldrazi Aggro,1,0,0,1,100.0
Jeskai Combo,Azorius Blink,1,0,0,1,100.0
Jeskai Combo,Jeskai Burn,1,0,0,1,100.0
Jeskai Combo,W-U-B-R-G Aggro,1,0,0,1,100.0
Jeskai Combo,Izzet Affinity,0,1,0,1,0.0
W-U-B-R-G Aggro,W-U-R-G Birthing Ritual,1,0,0,1,100.0
W-U-B-R-G Aggro,Abzan Combo,1,0,0,1,100.0
W-U-B-R-G Aggro,Grixis Affinity,0,1,0,1,0.0
W-U-B-R-G Aggro,Jeskai Blink,0,0,1,1,
W-U-B-R-G Aggro,Gruul Eldrazi Ramp,1,0,0,1,100.0
W-U-B-R-G Aggro,Jeskai Combo,0,1,0,1,0.0
W-U-B-R-G Aggro,Izzet Aggro,1,0,0,1,100.0
Gruul Eldrazi Ramp,Mono-Green Amulet Titan,0,1,0,1,0.0
Gruul Eldrazi Ramp,Temur,1,0,0,1,100.0
Gruul Eldrazi Ramp,W-U-R-G Birthing Ritual,1,0,0,1,100.0
Gruul Eldrazi Ramp,Jeskai Burn,0,0,1,1,
Gruul Eldrazi Ramp,W-U-B-R-G Aggro,0,1,0,1,0.0
Gruul Eldrazi Ramp,Mono-Black,1,0,0,1,100.0
Grixis Control,Boros Energy,1,0,0,1,100.0
Grixis Control,Izzet Affinity,1,0,0,1,100.0
Grixis Control,Boros Midrange,0,1,0,1,0.0
Grixis Control,Mono-Red Storm,1,0,0,1,100.0
Grixis Control,Mono-Green Amulet Titan,1,0,0,1,100.0
Grixis Control,Mono-Blue Eldrazi,0,1,0,1,0.0
Grixis Control,Jeskai Blink,0,1,0,1,0.0
Mono-Red Storm,Esper Blink,1,0,0,1,100.0
Mono-Red Storm,Mono-Black Control,0,1,0,1,0.0
Mono-Red Storm,Boros Energy,1,1,0,2,50.0
Mono-Red Storm,Grixis Control,0,1,0,1,0.0
Mono-Red Storm,W-U-R-G Midrange,1,0,0,1,100.0
Mono-Red Storm,Simic Amulet Titan,1,2,0,3,33.3
Mono-Red Storm,Моно-Синий,0,1,0,1,0.0
Mono-Green Amulet Titan,Gruul Eldrazi Ramp,1,0,0,1,100.0
