archetype_a,archetype_b,win,loss,draw,games,winrate
Simic Neoform,Mono-Green Eldrazi,1,0,0,1,100.0
Simic Neoform,Simic Neoform,1,1,0,2,50.0
Simic Neoform,Mono-Green Amulet Titan,1,2,0,3,33.3
Simic Neoform,Colorless Eldrazi,3,0,0,3,100.0
Simic Neoform,Mono-Green Combo,1,0,0,1,100.0
Simic Neoform,Izzet Affinity,1,0,0,1,100.0
Simic Neoform,W-U-B-G Goryo's Vengeance,1,2,0,3,33.3
Mono-Green Amulet Titan,Izzet Prowess,5,1,0,6,83.3
Mono-Green Amulet Titan,Esper Blink,3,2,1,6,60.0
Mono-Green Amulet Titan,W-U-R-G Domain,0,2,1,3,0.0
Mono-Green Amulet Titan,W-U-R-G Domain Zoo,4,0,0,4,100.0
Mono-Green Amulet Titan,Colorless Eldrazi,1,0,0,1,100.0
Mono-Blue Belcher,Colorless,1,0,0,1,100.0
Mono-Blue Belcher,Esper Midrange,0,2,0,2,0.0
Mono-Blue Belcher,Mono-Green Amulet Titan,1,0,0,1,100.0
Mono-Blue Belcher,Gruul Eldrazi Ramp,1,0,1,2,100.0
Mono-Blue Belcher,Boros Energy,1,0,0,1,100.0
Mono-Blue Belcher,W-U-R-G Domain Zoo,3,0,0,3,100.0
Mono-Blue Belcher,W-U-R-G Aggro,1,0,0,1,100.0
Mono-Blue Belcher,Izzet Affinity,0,2,0,2,0.0
Mono-Green Amulet Titan,Boros Burn,1,0,0,1,100.0
Mono-Green Amulet Titan,Simic Neoform,2,1,0,3,66.7
Mono-Green Amulet Titan,Izzet Aggro,1,0,1,2,100.0
Mono-Green Amulet Titan,W-U-B-G Goryo's Vengeance,0,3,0,3,0.0
Izzet Aggro,Abzan Combo,1,0,0,1,100.0
Izzet Aggro,Colorless Eldrazi,1,0,0,1,100.0
Izzet Aggro,Mono-Green Broodscale,1,0,0,1,100.0
Izzet Aggro,Izzet Prowess,1,0,0,1,100.0
Izzet Aggro,Abzan Yawgmoth,1,0,0,1,100.0
Izzet Aggro,Mono-Green Amulet Titan,0,1,1,2,0.0
Izzet Aggro,Izzet Affinity,0,0,1,1,
Izzet Affinity,Golgari Eldrazi,0,0,1,1,
Izzet Affinity,Gruul Eldrazi Ramp,1,0,0,1,100.0
Izzet Affinity,Mono-Green Amulet Titan,1,0,0,1,100.0
Izzet Affinity,W-U-R-G Aggro,1,1,0,2,50.0
Izzet Affinity,W-U-R-G Domain Zoo,2,1,0,3,66.7
Izzet Affinity,W-U-B-G Goryo's Vengeance,2,1,0,3,66.7
Izzet Affinity,Izzet Aggro,0,0,1,1,
Izzet Affinity,Mono-Blue Belcher,2,0,0,2,100.0
Izzet Affinity,W-U-R-G Domain,1,1,0,2,50.0
W-U-R-G Domain,Izzet Prowess,2,0,0,2,100.0
W-U-R-G Domain,W-U-R-G Domain Zoo,1,0,0,1,100.0
W-U-R-G Domain,Mono-Green Amulet Titan,2,0,1,3,100.0
W-U-R-G Domain,Izzet Affinity,1,1,0,2,50.0
