archetype_a,archetype_b,win,loss,draw,games,winrate
Mono-Green Eldrazi Broodscale,Izzet Affinity,1,0,0,1,100.0
Mono-Green Eldrazi Broodscale,Mono-Black Midrange,1,0,0,1,100.0
Mono-Green Eldrazi Broodscale,Azorius Control,1,0,0,1,100.0
Mono-Green Eldrazi Broodscale,Mono-Green Eldrazi Ramp,1,0,0,1,100.0
Mono-Green Eldrazi Broodscale,Esper Reanimator,0,0,1,1,
Mono-Green Eldrazi Broodscale,Mono-Green Amulet Titan,0,1,0,1,0.0
Izzet Eldrazi,Izzet Affinity,1,0,0,1,100.0
Izzet Eldrazi,Esper Reanimator,0,0,1,1,
Izzet Eldrazi,Mono-Green Amulet Titan,1,0,0,1,100.0
Izzet Eldrazi,Boros Aggro,1,0,0,1,100.0
Izzet Eldrazi,Mono-Green Eldrazi Ramp,1,0,0,1,100.0
Izzet Eldrazi,Mono-Red Storm,0,1,0,1,0.0
Boros Energy,Izzet,1,0,0,1,100.0
Boros Energy,Colorless Eldrazi Tron,1,0,0,1,100.0
Boros Energy,Esper Reanimator,1,1,0,2,50.0
Boros Energy,Mono-Green Amulet Titan,1,1,0,2,50.0
Boros Energy,Azorius Control,2,1,0,3,66.7
Boros Energy,Mono-Red Storm,1,0,0,1,100.0
Esper Reanimator,Boros Aggro,1,0,0,1,100.0
Esper Reanimator,Izzet Eldrazi,0,0,1,1,
Esper Reanimator,Boros Energy,1,1,0,2,50.0
Esper Reanimator,Mono-Green Eldrazi Ramp,2,0,0,2,100.0
Esper Reanimator,Mono-Green Eldrazi Broodscale,0,0,1,1,
Esper Reanimator,Mono-Green Amulet Titan,1,0,0,1,100.0
Mono-Green Eldrazi Ramp,Mono-Green Eldrazi Ramp,1,1,0,2,50.0
Mono-Green Eldrazi Ramp,W-B-R-G Samwise Gamgee Combo,1,0,0,1,100.0
Mono-Green Eldrazi Ramp,Mono-Green Eldrazi Broodscale,0,1,0,1,0.0
Mono-Green Eldrazi Ramp,Izzet Eldrazi,0,1,0,1,0.0
Mono-Green Eldrazi Ramp,Esper Reanimator,0,2,0,2,0.0
Azorius Control,Boros Energy,1,2,0,3,33.3
Azorius Control,Mono-Red Storm,1,0,0,1,100.0
Azorius Control,Mono-Green Eldrazi Broodscale,0,1,0,1,0.0
Azorius Control,Colorless Eldrazi Tron,1,0,0,1,100.0
Mono-Red Storm,Mono-Green Amulet Titan,1,0,0,1,100.0
